adve_time_year,Espace Mittelland,Nordwestschweiz,Ostschweiz,Région lémanique,Ticino,Zentralschweiz,Zürich,not applicable (not assignable to region)
2010,7.8218,0.0,9.8511,0.0,0.0,0.0,0.0,0.0
2011,19.728,0.0,0.0,10.2667,0.0,0.0,16.9711,0.0
2012,69.69059999999999,32.3333,0.0,38.375,0.0,0.0,4.3333,0.0
2013,55.2818,45.0312,5.8438,5.3334,0.0,0.0,34.9645,0.0
2014,45.6666,0.0,0.0,30.15,0.0,56.6666,93.3333,0.0
2015,27.6667,8.0,12.9861,97.0522,0.0,0.0,35.6667,89.5581
2016,17.0,40.636300000000006,0.0,99.3389,0.0,55.1754,36.272800000000004,0.0
2017,35.9999,24.9872,99.73750000000001,406.1724,0.0,23.6667,251.49720000000002,95.84339999999999
2018,104.0026,68.25,65.6095,63.8439,0.0,0.0,278.33209999999997,62.9
2019,98.8609,235.35240000000002,57.3695,117.2618,0.0,8.1938,293.8795,139.108
2020,56.2571,68.8943,19.5073,75.4485,0.0,73.12650000000001,315.5967,100.9986
2021,135.1068,96.7921,64.3261,146.1377,0.0,219.4228,334.3367,37.2671
2022,268.2973,107.9375,80.536,265.3508,14.2018,157.4289,803.8532,136.7739
2023,297.7247,77.982,34.4922,176.89440000000002,0.0,0.0,438.9843,22.2453
2024,169.6023,90.612,127.1314,404.484,21.3027,7.771,376.7618,263.6834
