adve_time_year,Aareland,Berner Oberland,Bodenseeregion,Ostalpen,Region Basel,Region Bern,Region Biel–Jura,Region Freiburg,Region Genf,Region Lausanne,Region Neuenburg,Region Zürich,Sottoceneri,Westalpen,Zentralschweiz,not applicable (not assignable to region)
2010,0.0,0.0,0.0,9.8511,0.0,7.8218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,11.7327,0.0,0.0,0.0,7.9953,0.0,0.0,0.0,10.2667,0.0,16.9711,0.0,0.0,0.0,0.0
2012,33.1911,0.0,0.0,0.0,8.0,1.0,35.4995,0.0,0.0,38.375,0.0,28.666600000000003,0.0,0.0,0.0,0.0
2013,100.31299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3334,0.0,0.0,40.808299999999996,0.0,0.0,0.0,0.0
2014,28.3333,0.0,0.0,0.0,0.0,0.0,17.3333,0.0,0.0,30.15,0.0,93.3333,0.0,0.0,56.6666,0.0
2015,0.0,0.0,0.0,0.0,8.0,27.6667,0.0,0.0,49.5,47.5522,0.0,48.6528,0.0,0.0,0.0,89.5581
2016,17.0,0.0,0.0,0.0,26.3333,0.0,0.0,0.0,91.6722,7.6667,0.0,50.5758,0.0,0.0,55.1754,0.0
2017,0.0,0.0,57.245900000000006,16.3704,0.0,22.5431,0.0,0.0,32.672399999999996,373.5,13.456800000000001,302.6056,0.0,0.0,23.6667,95.84339999999999
2018,33.8146,0.0,65.6095,0.0,47.05,70.188,0.0,0.0,26.2167,37.6272,0.0,299.5321,0.0,0.0,0.0,62.9
2019,26.270200000000003,0.0,46.2249,0.0,232.75240000000002,44.19070000000001,0.0,31.0,69.89,47.3718,0.0,305.0241,0.0,0.0,8.1938,139.108
2020,0.0,0.0,19.5073,0.0,68.8943,56.2571,0.0,0.0,19.6885,55.76,0.0,332.504,0.0,0.0,56.2192,100.9986
2021,50.7219,0.0,64.3261,0.0,65.0868,71.1456,9.9,0.0,53.737700000000004,26.8,3.3393,419.3754,0.0,65.6,166.0894,37.2671
2022,0.0,0.0,32.3018,0.0,107.9375,132.7782,129.4846,0.0,35.8093,160.2332,6.0345,852.0874,14.2018,69.3083,157.4289,136.7739
2023,0.0,0.0,30.835099999999997,0.0,58.66589999999999,289.46770000000004,8.257,0.0,22.8607,131.3769,0.0,461.95750000000004,0.0,22.6568,0.0,22.2453
2024,0.0,24.3186,109.38640000000001,16.2212,90.612,51.9134,59.2281,2.987,363.97339999999997,34.869,4.6773,378.2856,21.3027,0.0,7.771,295.8029
