adve_time_year,"IT, programming",accounting and finance,"analysis/research, controller","disposing, organizing, leading","educating/teaching, advising",guard,"installation, assembly, construction",manufacturing,medical and cosmetical care,"planning, engineering, designing/drawing","publishing, creative work","purchasing/sales, cashier, customer service","repair, restore","set up, operator",store and transport,"supervisor, hiring","writing, correspondence, administration"
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6729,0.0,0.0,0.0
2011,10.2667,7.9953,11.7327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9711,0.0,0.0,0.0,0.0,0.0
2012,25.3333,0.0,8.0,38.375,35.4995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3333,0.0,33.1911
2013,52.5207,0.0,8.3025,0.0,5.6358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6312,48.3645,0.0,0.0
2014,0.0,0.0,15.3333,78.0,0.0,0.0,0.0,30.15,56.6666,0.0,0.0,17.3333,0.0,0.0,0.0,0.0,28.3333
2015,118.7775,35.6667,27.3333,43.1667,0.0,10.3189,0.0,0.0,0.0,0.0,27.6667,0.0,0.0,8.0,0.0,0.0,0.0
2016,96.551,0.0,65.59960000000001,28.6061,0.0,0.0,0.0,0.0,23.6667,0.0,0.0,0.0,0.0,0.0,0.0,7.6667,26.3333
2017,177.3575,30.5221,237.0671,19.8261,230.0,0.0,0.0,0.0,0.0,122.0668,4.0,41.6704,0.0,24.6724,0.0,0.0,50.7219
2018,262.6169,0.0,94.52029999999999,88.4928,64.62219999999999,0.0,0.0,9.1852,16.9073,31.9,0.0,40.8788,0.0,0.0,0.0,0.0,33.8146
2019,413.6744,106.663,116.2959,113.4324,0.0,0.0,0.0,0.0,47.3404,68.309,0.0,19.6,0.0,16.3704,0.0,0.0,48.3404
2020,325.2074,0.0,303.3221,5.28,0.0,0.0,0.0,0.0,20.9986,32.1743,0.0,0.0,0.0,2.6,0.0,0.0,20.2466
2021,467.67830000000004,108.6549,336.7459,50.752700000000004,0.0,0.0,0.0,0.0,16.9073,4.0,0.0,15.486,0.0,7.7917,0.0,0.0,25.372500000000002
2022,959.3829000000001,17.762700000000002,264.88100000000003,73.0959,19.7619,0.0,76.5933,0.0,43.9347,74.7928,0.0,270.34819999999996,0.0,0.0,0.0,14.6168,19.2092
2023,276.4342,6.3406,325.0624,118.671,26.7373,0.0,0.0,0.0,0.0,103.0374,0.0,172.72390000000001,0.0,0.0,0.0,0.0,19.3161
2024,559.0776,0.0,343.0931,55.0012,29.8425,0.0,0.0,0.0,16.2212,379.3669,14.2819,35.4683,24.3186,0.0,0.0,0.0,4.6773
