group,total_demand_tru2,mean_exposure,ai_demand_tru2,ai_share
Accommodation,19375.7235,-0.8153907499999998,0.0,0.0
Activities auxiliary to financial and insurance services,7319.281000000001,2.1149697,0.0,0.0
Activities of head offices; management consultancy activities,18400.4988,1.6030056666666663,587.5132,0.031929199658435346
Activities of households as employers; undifferentiated goods- and services-producing activities of households,21889.6328,,201.5139,0.009205905911770252
Administrative and other business support service activities,31162.4703,-0.0792861738095238,55.256,0.0017731585290913217
"Agriculture, forestry and fishing",5585.189,-1.0345610360000002,0.0,0.0
Architectural and engineering activities; technical testing and analysis,115402.8238,0.6304446666666667,912.316,0.007905491130625176
"Arts, entertainment and recreation",8916.6844,-0.14435774545454544,78.0,0.008747646154214004
Civil engineering,7615.4405,-0.9336955999999998,0.0,0.0
Construction of buildings,19091.7561,-0.7117375500000002,8.2339,0.0004312803891308878
Education,66308.87909999999,1.1862854428571432,996.5924,0.015029546774528422
"Electricity, gas, water supply; sewerage, waste management and remediation activities",24187.206599999998,-0.6259457333333335,149.9727,0.00620049691889596
Financial service activities,54824.1448,2.032305333333333,909.3992000000001,0.016587567454403776
Food and beverage service activities,54205.788,-1.083814,0.0,0.0
Human health activities,141793.9634,0.7141869727272726,659.8353,0.004653479486560427
"Insurance, reinsurance and pension funding (excluding social security)",34800.1121,2.08917275,179.215,0.00514983973284385
Land transport and transport via pipelines,22429.5099,-0.11150409999999997,24.0192,0.001070874936950807
Legal and accounting activities; auditing; tax consultancy,16349.144600000001,1.6582045,108.4935,0.006636035257771222
Manufacture and processing of basic metals,19332.685599999997,-0.90477262,32.3451,0.0016730784676910076
Manufacture of basic pharmaceutical products and pharmaceutical preparations,10010.2696,0.12862043333333334,214.9189,0.02146984133174595
Manufacture of chemicals; coke and refined petroleum products,21438.2841,-0.26184086666666667,173.886,0.008111003622719973
"Manufacture of computer, electronic and optical products",37043.8228,0.7901558666666667,500.2245,0.01350358743212647
Manufacture of electrical equipment,17841.0881,-0.12439562173913044,76.45629999999998,0.004285405664243089
Manufacture of fabricated metal products,24825.4274,-0.5680944147058823,25.0113,0.0010074871863031852
Manufacture of food products and tobacco products,18587.4235,-0.922205610810811,56.6721,0.003048948661443045
Manufacture of glass and glass products; ceramics; processing of stones and earth,5231.4655,-0.7346721749999999,0.0,0.0
Manufacture of machinery and equipment,41602.313599999994,-0.18536159666666668,192.6173,0.004629966060349106
"Manufacture of motor vehicles, trailers and other transport equipment",4588.2835000000005,-0.2769384368421053,0.0,0.0
Manufacture of paper and paper products,9098.0356,-0.64109755,9.8511,0.0010827721975499856
Manufacture of rubber and plastic products,8063.0697,-0.713524561111111,81.2706,0.010079362206183088
Manufacture of textiles and wearing apparel,7471.7782,-0.659203155263158,6.0345,0.0008076390704424283
"Manufacture of wood and of products of wood, straw and plaiting materials (excluding furniture)",12348.8275,-0.9917948846153847,0.0,0.0
Membership organisations; religious and other associations (excluding social work and sports),20243.511599999998,1.1480757222222224,30.4122,0.001502318402109642
Not stated; activities of extraterritorial organisations and bodies,61633.639599999995,,51.915,0.0008423159874530597
Other manufacturing; repair and installation of machinery and equipment,19614.0538,-0.4608999404761905,0.0,0.0
Postal and courier activities,14339.8674,-1.2160006666666667,49.2664,0.0034356245163048023
Printing and reproduction of recorded media,19204.9432,-0.0849283,117.6862,0.0061279119013483985
Public administration and defence; compulsory social security,43721.667400000006,-0.06395094999999994,313.2749,0.0071652093488090525
Publishing; audiovisual and broadcasting activities,28005.365999999995,1.32837197,750.1001,0.02678415629347605
Real estate activities,14723.8277,0.9475425749999998,65.05080000000001,0.00441806311004305
Repair of computers and personal/household goods; other predominantly personal service activities,11025.050599999999,-0.3492598523809524,0.0,0.0
Residential care activities (excluding holiday and recreational homes),49764.7536,0.2122173,0.0,0.0
Retail trade (excluding motor vehicles and motorcycles),142257.3845,0.029031561818181832,226.1049,0.0015894071214278512
"Scientific research and development; other professional, scientific and technical activities; veterinary activities",14178.3945,0.8867297999999997,507.0741,0.03576385887696946
Social work activities without accommodation,17479.4833,0.7274457857142858,0.0,0.0
Specialised construction activities,96390.5839,-1.2805669647058826,83.4823,0.0008660835594336512
Telecommunications; IT services; information service activities,62738.4589,0.9881140437500001,362.4708,0.0057774896985874164
Warehousing and support activities for transportation,15441.954000000002,-0.9599344375,53.3334,0.003453798657864153
Water transport and air transport,9867.4431,-0.3848308454545455,99.7842,0.010112467737462808
Wholesale and retail trade and repair of motor vehicles and motorcycles,25606.293399999995,-0.08843436111111114,0.0,0.0
Wholesale trade (excluding motor vehicles and motorcycles),63259.095499999996,0.2887353557692309,769.5295,0.012164724991997396
