group,total_demand_tru2,mean_exposure,ai_demand_tru2,ai_share
Administrative and commercial managers,45991.3992,,406.1514,0.008831029432998856
"Agricultural, forestry and fishery labourers",3518.3807999999995,-1.5142456066346772,0.0,0.0
Assemblers,6412.3867,,0.0,0.0
Building and related trades workers (excluding electricians),77354.6039,,0.0,0.0
Business and administration associate professionals,98037.51090000001,,215.811,0.002201310478191669
Business and administration professionals,94131.0949,,1249.5329,0.013274390373631997
"Chief executives, senior officials and legislators",11239.871700000002,,123.3276,0.010972331650369283
Cleaners and helpers,10923.6018,-1.4997705789853673,0.0,0.0
Customer services clerks,21532.7299,0.6300108598603167,0.0,0.0
Drivers and mobile plant operators,24727.7819,,0.0,0.0
Electrical and electronic trades workers,50517.3462,-0.7349430244588686,38.9278,0.0007705828379401291
Food preparation assistants,3539.3653,,0.0,0.0
"Food processing, woodworking, garment and other craft and related trades workers",14380.237000000001,,0.0,0.0
General and keyboard clerks,64119.1419,1.2213001364729434,0.0,0.0
Handicraft and printing workers,8802.6997,,0.0,0.0
Health associate professionals,35440.180700000004,-0.21087579969394055,351.2984,0.00991243252887816
Health professionals,95048.0815,,81.0271,0.0008524853813067232
"Hospitality, retail and other services managers",5530.2606,0.16352363563212194,0.0,0.0
Information and communications technicians,20472.0607,,76.215,0.0037228787622733063
Information and communications technology professionals,113868.48169999999,,3027.5658,0.026588268806257385
"Labourers in mining, construction, manufacturing and transport",9566.6742,,52.6978,0.005508476498551608
"Legal, social and cultural professionals",34877.256799999996,,171.42690000000002,0.00491514860193936
"Legal, social, cultural and related associate professionals",28467.983099999998,,50.186800000000005,0.0017629208161220248
Market-oriented skilled agricultural workers,9317.197199999999,-1.1063309154106995,0.0,0.0
"Market-oriented skilled forestry, fishery and hunting workers",305.1636,-0.9638657600000005,0.0,0.0
"Metal, machinery and related trades workers",76012.0264,,79.991,0.0010523466323481673
Non-commissioned armed forces officers,993.0318,,14.6868,0.01478985869334698
Numerical and material recording clerks,45651.0499,,35.6667,0.0007812898077509495
Other clerical support workers,44843.7736,,29.0453,0.0006476997288203239
Personal care workers,32818.6343,-0.3068813377811033,0.0,0.0
Personal service workers,88879.9641,,0.0,0.0
Production and specialised services managers,26793.2359,,389.8461,0.014550168611772645
Protective services workers,10562.3099,-0.251524094174202,1.0,9.467626016161484e-05
Refuse workers and other elementary workers,8570.768499999998,,0.0,0.0
Sales workers,97552.20259999999,0.03313304070450184,0.0,0.0
Science and engineering associate professionals,126263.3322,,459.9378,0.003642687009649504
Science and engineering professionals,96041.1772,,2012.313,0.020952606565926183
Stationary plant and machine operators,19644.820200000002,,67.00189999999999,0.003410664965006907
Teaching professionals,47223.1293,,319.90090000000004,0.006774241875580237
Unknown,26665.8476,,465.5748,0.017459591271345897
