group,ai_demand_tru2,mean_exposure,total_demand_tru2,ai_share
Activities of extraterritorial organisations,51.915,,61633.6396,0.0008423159874530596
Activities of households as employers,201.51390000000004,,21889.6328,0.009205905911770253
Administrative and support service activities,55.256,-0.07928617380952382,31162.4703,0.0017731585290913217
"Arts, entertainment and recreation",78.0,-0.14435774545454547,8916.6844,0.008747646154214004
Construction,91.71619999999999,-1.22949981934065,123097.7805,0.0007450678609107822
Education,996.5923999999999,1.186285442857143,66308.8791,0.015029546774528418
"Electricity, gas, water supply; sewerage, waste management",149.9727,-0.6259457333333334,24187.2066,0.006200496918895958
Financial and insurance activities,1088.6142,2.0416672303928394,96943.5379,0.011229363231234003
Human health and social work activities,659.8353,0.7141869727272727,209038.2003,0.0031565297589294257
Information and communication,1112.5709000000004,1.2175174053747895,90743.8249,0.012260568707854856
Manufacturing,1486.9739,0.10634964088654401,276301.7717,0.005381702371472705
Other service activities,30.4122,1.1480757222222222,31268.5622,0.0009726126774067021
"Professional, scientific and technical activities",2115.3968,1.014700348679294,164330.8617,0.012872790771716618
Public administration and defence; compulsory social security,313.2749,-0.06395094999999996,43721.6674,0.007165209348809053
Real estate activities,65.0508,0.9475425749999999,14723.8277,0.004418063110043049
Transportation and storage,226.4032,-0.6721760995469791,62078.7744,0.0036470307635454863
Wholesale and retail trade; repair of motor vehicles,995.6344,0.22975758203931296,231122.7734,0.004307816081268952
