group,total_demand_tru2,mean_exposure,ai_demand_tru2,ai_share
Accommodation and food service activities,73581.51150000001,-1.0131319146914999,0.0,0.0
Activities of extraterritorial organisations,61633.639599999995,,51.915,0.0008423159874530597
Activities of households as employers,21889.6328,,201.5139,0.009205905911770252
Administrative and support service activities,31162.4703,-0.0792861738095238,55.256,0.0017731585290913217
"Agriculture, forestry, fishing and mining",5585.189,-1.0345610360000002,0.0,0.0
"Arts, entertainment and recreation",8916.6844,-0.14435774545454544,78.0,0.008747646154214004
Construction,123097.7805,-1.1708856151941265,91.7162,0.0007450678609107823
Education,66308.87909999999,1.1862854428571432,996.5924,0.015029546774528422
"Electricity, gas, water supply; sewerage, waste management",24187.206599999998,-0.6259457333333335,149.9727,0.00620049691889596
Financial and insurance activities,96943.5379,2.0589603972925556,1088.6142,0.011229363231234003
Human health and social work activities,209038.2003,0.5957940673049951,659.8353,0.0031565297589294257
Information and communication,90743.8249,1.0931244702945422,1112.5709,0.01226056870785485
Manufacturing,276301.7717,-0.2832653414195217,1486.9739,0.005381702371472705
Other service activities,31268.5622,0.6201269035464446,30.4122,0.0009726126774067021
"Professional, scientific and technical activities",164330.8617,0.8637076884204828,2115.3968,0.012872790771716618
Public administration and defence; compulsory social security,43721.667400000006,-0.06395094999999994,313.2749,0.0071652093488090525
Real estate activities,14723.8277,0.9475425749999998,65.05080000000001,0.00441806311004305
Transportation and storage,62078.774399999995,-0.6211274449820758,226.4032,0.0036470307635454867
Wholesale and retail trade; repair of motor vehicles,231122.77339999998,0.08709922870709287,995.6344,0.004307816081268952
