group,ai_demand_tru2,mean_exposure,total_demand_tru2,ai_share
"IT, programming",3744.8784,1.2684881127497278,112272.7632,0.03335518155306255
accounting and finance,313.60529999999994,1.3869551341682045,49164.6032,0.006378680587012242
"analysis/research, controller",2157.2891999999993,1.1665149396961854,86797.8601,0.024854174947568773
"disposing, organizing, leading",712.6999000000001,1.119580825415074,160440.8079,0.004442136070794493
"educating/teaching, advising",412.0992,1.2386410813366864,78731.279,0.00523425003676112
guard,10.3189,0.5086878,10879.3285,0.0009484868482461945
"installation, assembly, construction",76.5933,1.282867,133011.0863,0.0005758414740501221
manufacturing,39.3352,-0.8776143666666667,94790.6682,0.00041496911823647216
medical and cosmetical care,242.64280000000002,0.08520344715809824,143388.369,0.0016922069878624536
"planning, engineering, designing/drawing",815.6472,0.7260563856279069,106135.4321,0.0076849661216953765
"publishing, creative work",45.9486,0.23379330314699465,9915.3716,0.004634077456058227
"purchasing/sales, cashier, customer service",630.48,1.1488563828962621,263389.3322,0.0023937188144023095
"repair, restore",24.3186,,52169.6834,0.0004661442894629489
"set up, operator",108.7386,-0.18931842906971916,39295.0499,0.0027672340479710147
store and transport,52.6978,-0.9225249999999999,47469.613,0.0011101375526276146
"supervisor, hiring",22.2835,0.6316795651964457,21606.3454,0.0010313405431350738
"writing, correspondence, administration",309.5563,0.7019938848313405,120227.1424,0.002574762186146745
