group,total_demand_tru2,mean_exposure,ai_demand_tru2,ai_share
"IT, programming",112272.7632,,3744.8784,0.03335518155306255
accounting and finance,49164.6032,,313.6053,0.006378680587012243
administration of justice,18364.352600000002,,0.0,0.0
agricultural tasks,11120.428,-1.0957522446585377,0.0,0.0
"analysis/research, controller",86797.86009999999,,2157.2892,0.024854174947568787
"disposing, organizing, leading",160440.8079,,712.6999,0.004442136070794492
"educating/teaching, advising",78731.279,,412.0992,0.00523425003676112
guard,10879.328500000001,,10.3189,0.0009484868482461944
hospitality services,44529.880600000004,,0.0,0.0
"installation, assembly, construction",133011.0863,,76.5933,0.0005758414740501221
"ironing, cleaning, waste management",23361.4425,,0.0,0.0
manufacturing,94790.6682,,39.3352,0.00041496911823647216
medical and cosmetical care,143388.369,,242.6428,0.0016922069878624534
not recorded for jobs no. 5-10,9575.9563,,0.0,0.0
"planning, engineering, designing/drawing",106135.4321,,815.6472,0.0076849661216953765
"publishing, creative work",9915.371599999999,,45.9486,0.004634077456058228
"purchasing/sales, cashier, customer service",263389.3322,,630.48,0.0023937188144023095
"repair, restore",52169.683399999994,,24.3186,0.00046614428946294893
"set up, operator",39295.0499,,108.73859999999999,0.0027672340479710142
store and transport,47469.613,,52.6978,0.0011101375526276146
"supervisor, hiring",21606.345400000002,,22.2835,0.0010313405431350735
"writing, correspondence, administration",120227.1424,,309.5563,0.002574762186146745
