group,total_demand_tru2,mean_exposure,ai_demand_tru2,ai_share
"IT, programming",112272.7632,1.062361078862488,3744.8784,0.03335518155306255
accounting and finance,49164.6032,1.1460207435289993,313.6053,0.006378680587012243
administration of justice,18364.352600000002,1.1981503414986836,0.0,0.0
agricultural tasks,11120.428,-1.0957522446585377,0.0,0.0
"analysis/research, controller",86797.86009999999,0.7953433618967922,2157.2892,0.024854174947568787
"disposing, organizing, leading",160440.8079,0.650823154697757,712.6999,0.004442136070794492
"educating/teaching, advising",78731.279,0.6946689764207561,412.0992,0.00523425003676112
guard,10879.328500000001,-0.16983756646792242,10.3189,0.0009484868482461944
hospitality services,44529.880600000004,-0.7216476081272822,0.0,0.0
"installation, assembly, construction",133011.0863,-0.9053394680360393,76.5933,0.0005758414740501221
"ironing, cleaning, waste management",23361.4425,-1.1978136070369036,0.0,0.0
manufacturing,94790.6682,-0.8456573917958462,39.3352,0.00041496911823647216
medical and cosmetical care,143388.369,0.06485151265887917,242.6428,0.0016922069878624534
not recorded for jobs no. 5-10,9575.9563,-0.3649083040356507,0.0,0.0
"planning, engineering, designing/drawing",106135.4321,0.6700500446532974,815.6472,0.0076849661216953765
"publishing, creative work",9915.371599999999,0.8032940016791311,45.9486,0.004634077456058228
"purchasing/sales, cashier, customer service",263389.3322,0.6226316713439978,630.48,0.0023937188144023095
"repair, restore",52169.683399999994,-0.7896132399604454,24.3186,0.00046614428946294893
"set up, operator",39295.0499,-0.27302713943485685,108.73859999999999,0.0027672340479710142
store and transport,47469.613,-0.4986059154480905,52.6978,0.0011101375526276146
"supervisor, hiring",21606.345400000002,0.9616391433898346,22.2835,0.0010313405431350735
"writing, correspondence, administration",120227.1424,1.051366717555831,309.5563,0.002574762186146745
