_g,2010-2014,2015-2019,2020-2024
AG,0.0020643912574773524,0.001762752959497452,0.001787645553412029
AI,0.0,0.02405502927382918,0.0
AR,0.0,0.0,0.0015881568926611126
BE,0.0012818016435857654,0.0024977774866569336,0.009190505975891725
BL,0.0,0.0,0.0009591420777371976
BS,0.0003231698659224377,0.009992587279811956,0.013501861099606143
FR,0.0,0.0035217800739682876,0.00021393003986353885
GE,0.0003231378672975887,0.016004881207357602,0.016297914347047294
GL,0.0,0.0,0.0
GR,0.0,0.0,0.0012694811418048908
JU,0.0,0.0,0.0
LU,0.0,0.0009720707197374801,0.004977551187528966
NE,0.0,0.002704773295344409,0.0013392437045056762
NW,0.0,0.0,0.0
OW,0.0,0.0,0.0
SG,0.00036265989568997096,0.0022988446449619497,0.0070510688504166665
SH,0.0011659989611000736,0.011110788302402953,0.0007831288568253497
SO,0.006045589565551591,0.003487100448832723,0.005848882793015372
SZ,0.009311730618721845,0.0,0.008476806847646942
TG,0.0,0.006756896668870379,0.0008653134284423763
TI,0.0,0.0,0.005877194032288787
UR,0.0,0.0,0.0
Unknown,0.0,0.010041102793238,0.019247118923465992
VD,0.0004219073849038507,0.01800117186804382,0.011735326875240778
VS,0.004119835737805345,0.0,0.014185191001294695
ZG,0.0,0.0077409649143573645,0.01805556958644617
ZH,0.0011730512108456435,0.006618497148312395,0.016539996412428443
