_g,2010-2014,2015-2019,2020-2024
Accommodation,0.0,0.0,0.0
Activities auxiliary to financial and insurance services,0.0,0.0,0.0
Activities of head offices; management consultancy activities,0.0,0.029636975001703526,0.0827293559720281
Activities of households as employers; undifferentiated goods- and services-producing activities of households,0.0,0.0,0.009622256460130752
Administrative and other business support service activities,0.0,0.00023876329685235757,0.0035427178371157993
"Agriculture, forestry and fishing",0.0,0.0,0.0
Architectural and engineering activities; technical testing and analysis,0.0,0.00706823008142151,0.017853828051202315
"Arts, entertainment and recreation",0.036090352475039354,0.0,0.0
Civil engineering,0.0,0.0,0.0
Construction of buildings,0.0,0.0,0.001079566428060446
Education,0.002802632357304763,0.02087697443022197,0.0198476031492556
"Electricity, gas, water supply; sewerage, waste management and remediation activities",0.0,0.0010724314288684921,0.015045965201295386
Financial service activities,0.0,0.007937724020526879,0.03916711101074459
Food and beverage service activities,0.0,0.0,0.0
Human health activities,0.0034856589553840145,0.005629623623353104,0.004672718582837586
"Insurance, reinsurance and pension funding (excluding social security)",0.0,0.013993909105785225,0.0022650853849579414
Land transport and transport via pipelines,0.0,0.0,0.0054807720150400864
Legal and accounting activities; auditing; tax consultancy,0.0,0.014634658790833093,0.0
Manufacture and processing of basic metals,0.0,0.0,0.002787041847323347
Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.0,0.07467643451943291,0.00024362022084376038
Manufacture of chemicals; coke and refined petroleum products,0.007630037099406072,0.0006752942904289058,0.028585869973520996
"Manufacture of computer, electronic and optical products",0.0018470318277823898,0.02127744781772509,0.015748959402693077
Manufacture of electrical equipment,0.0,0.0,0.014714193180455484
Manufacture of fabricated metal products,0.002586378316709944,0.00047682870115909367,0.0
Manufacture of food products and tobacco products,0.0,0.008005844572661605,0.0
Manufacture of glass and glass products; ceramics; processing of stones and earth,0.0,0.0,0.0
Manufacture of machinery and equipment,0.0006559923679539892,0.005848379505562208,0.008469395687117501
"Manufacture of motor vehicles, trailers and other transport equipment",0.0,0.0,0.0
Manufacture of paper and paper products,0.014285295821966795,0.0,0.0
Manufacture of rubber and plastic products,0.0,0.0,0.02521086138055854
Manufacture of textiles and wearing apparel,0.0,0.0,0.0009009636615951522
"Manufacture of wood and of products of wood, straw and plaiting materials (excluding furniture)",0.0,0.0,0.0
Membership organisations; religious and other associations (excluding social work and sports),0.0,0.004364349178816909,0.0
Not stated; activities of extraterritorial organisations and bodies,0.0,0.004552923360044285,0.0
Other manufacturing; repair and installation of machinery and equipment,0.0,0.0,0.0
Postal and courier activities,0.008046866227920333,0.0,0.0015693206852570947
Printing and reproduction of recorded media,0.0,0.0,0.007921118112187384
Public administration and defence; compulsory social security,6.553801424050607e-05,0.0022755409514183447,0.022269094168854055
Publishing; audiovisual and broadcasting activities,0.0,0.011436915421032845,0.02784481900706415
Real estate activities,0.0,0.0,0.013773177797639424
Repair of computers and personal/household goods; other predominantly personal service activities,0.0,0.0,0.0
Residential care activities (excluding holiday and recreational homes),0.0,0.0,0.0
Retail trade (excluding motor vehicles and motorcycles),0.001087702961884305,0.0029684660175397044,0.0006142686147412323
"Scientific research and development; other professional, scientific and technical activities; veterinary activities",0.006016651304341257,0.024397655998656897,0.10424239843982756
Social work activities without accommodation,0.0,0.0,0.0
Specialised construction activities,0.0,0.0,0.0038056471613036225
Telecommunications; IT services; information service activities,0.0008147694404026408,0.00810106054843478,0.00846301191328861
Warehousing and support activities for transportation,0.0,0.0,0.013788633440410555
Water transport and air transport,0.0,0.0,0.014653520289579437
Wholesale and retail trade and repair of motor vehicles and motorcycles,0.0,0.0,0.0
Wholesale trade (excluding motor vehicles and motorcycles),0.0026728010037945366,0.00392097948393164,0.02533880371961778
