_g,2010-2014,2015-2019,2020-2024
Administrative and commercial managers,0.0,0.0056800104033827665,0.018701868938433213
"Agricultural, forestry and fishery labourers",0.0,0.0,0.0
Assemblers,0.0,0.0,0.0
Building and related trades workers (excluding electricians),0.0,0.0,0.0
Business and administration associate professionals,0.0009103469163087422,0.0019371475882668532,0.0039550501481220605
Business and administration professionals,0.0,0.011417571549995547,0.02832131005478502
"Chief executives, senior officials and legislators",0.02061411564783162,0.007162570535602283,0.0049299295328674225
Cleaners and helpers,0.0,0.0,0.0
Customer services clerks,0.0,0.0,0.0
Drivers and mobile plant operators,0.0,0.0,0.0
Electrical and electronic trades workers,0.001974762161001826,0.0,0.0003884008948135737
Food preparation assistants,0.0,0.0,0.0
"Food processing, woodworking, garment and other craft and related trades workers",0.0,0.0,0.0
General and keyboard clerks,0.0,0.0,0.0
Handicraft and printing workers,0.0,0.0,0.0
Health associate professionals,0.017251931457766212,0.01487368994294675,0.0054613118238204346
Health professionals,0.0,0.0015203991963559922,0.0008814013605221359
"Hospitality, retail and other services managers",0.0,0.0,0.0
Information and communications technicians,0.0,0.004425002406427925,0.006411824222973844
Information and communications technology professionals,0.003411907373242561,0.01879931072014079,0.05257365320962248
"Labourers in mining, construction, manufacturing and transport",0.01678592283300616,0.0,0.0
"Legal, social and cultural professionals",0.0,0.003119067405508287,0.010344909445064485
"Legal, social, cultural and related associate professionals",0.0,0.002764512644879835,0.0024410412061905183
Market-oriented skilled agricultural workers,0.0,0.0,0.0
"Market-oriented skilled forestry, fishery and hunting workers",0.0,0.0,0.0
"Metal, machinery and related trades workers",0.0,0.0020935381003353267,0.0008664494848239068
Non-commissioned armed forces officers,0.0,0.0,0.05003376055826541
Numerical and material recording clerks,0.0,0.00262811094943659,0.0
Other clerical support workers,0.0,0.0005267817711692213,0.001234390682761661
Personal care workers,0.0,0.0,0.0
Personal service workers,0.0,0.0,0.0
Production and specialised services managers,0.0,0.016887438387812505,0.024310226164389322
Protective services workers,0.0,0.0,0.0001771524657913717
Refuse workers and other elementary workers,0.0,0.0,0.0
Sales workers,0.0,0.0,0.0
Science and engineering associate professionals,0.0007701527398412916,0.0005975992988610268,0.008514497833739077
Science and engineering professionals,0.003014387594727832,0.023715414613766292,0.03115968710275736
Stationary plant and machine operators,0.005141836756864317,0.004442902388716338,0.0
Teaching professionals,0.002143552314858673,0.01674633747125844,0.0025807824571871026
Unknown,0.00029285925196650427,0.03705631995271972,0.023276689496992388
