_g,2010-2014,2015-2019,2020-2024
Accommodation and food service activities,0.0,0.0,0.0
Activities of extraterritorial organisations,0.0,0.004552923360044285,0.0
Activities of households as employers,0.0,0.0,0.009622256460130752
Administrative and support service activities,0.0,0.00023876329685235757,0.0035427178371157993
"Agriculture, forestry, fishing and mining",0.0,0.0,0.0
"Arts, entertainment and recreation",0.036090352475039354,0.0,0.0
Construction,0.0,0.0,0.0026445884934729203
Education,0.002802632357304763,0.02087697443022197,0.0198476031492556
"Electricity, gas, water supply; sewerage, waste management",0.0,0.0010724314288684921,0.015045965201295386
Financial and insurance activities,0.0,0.009513741606308012,0.024395962321329255
Human health and social work activities,0.0026895177320595495,0.003609199016119258,0.0030705326099276548
Information and communication,0.000795540510527743,0.008222257048302041,0.020400918858426712
Manufacturing,0.001614686905186054,0.00736491227279555,0.0065453627548494155
Other service activities,0.0,0.0026624638557938094,0.0
"Professional, scientific and technical activities",0.0005951373600285183,0.012913376211012573,0.026255192537942357
Public administration and defence; compulsory social security,6.553801424050607e-05,0.0022755409514183447,0.022269094168854055
Real estate activities,0.0,0.0,0.013773177797639424
Transportation and storage,0.0017813010942910712,0.0,0.00990765940624823
Wholesale and retail trade; repair of motor vehicles,0.0013513781467127059,0.0028985132698289644,0.00807078828417582
