_g,2010-2014,2015-2019,2020-2024
Aareland,0.006760280314029423,0.0030432834955760137,0.0017248401689563203
Berner Oberland,0.0009097474640693484,0.0,0.001246339372020971
Bodenseeregion,0.0,0.004768764371260644,0.005022077905604348
Ostalpen,0.0007138415825594917,0.0010667121994599597,0.0010512351270711535
Region Basel,0.00021907817114167103,0.007118204933002124,0.007143208789393877
Region Bern,0.0004766074021153069,0.00436501253275765,0.01327276908651651
Region Biel–Jura,0.002328980750577005,0.0,0.007007023163015963
Region Freiburg,0.0,0.00425667555890768,0.00023909599014812458
Region Genf,0.0002764096391474078,0.014035792809901701,0.015609035825048917
Region Lausanne,0.004265423540787404,0.0216725670779704,0.011894859608708742
Region Neuenburg,0.0,0.002549159762139799,0.0011283866113637223
Region Zürich,0.00114955746721635,0.0059045203214603366,0.014563994747361227
Sopraceneri,0.0,0.0,0.0
Sottoceneri,0.0,0.0,0.013258510539497344
Westalpen,0.0,0.0,0.017099729118714286
Zentralschweiz,0.0016767147615601545,0.0025191234106159174,0.006919010966022228
not applicable (not assignable to region),0.0,0.005942629348732602,0.01402148648937682
