adve_time_year,Accommodation,Activities auxiliary to financial and insurance services,Activities of head offices; management consultancy activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households,Administrative and other business support service activities,"Agriculture, forestry and fishing",Architectural and engineering activities; technical testing and analysis,"Arts, entertainment and recreation",Civil engineering,Construction of buildings,Education,"Electricity, gas, water supply; sewerage, waste management and remediation activities",Financial service activities,Food and beverage service activities,Human health activities,"Insurance, reinsurance and pension funding (excluding social security)",Land transport and transport via pipelines,Legal and accounting activities; auditing; tax consultancy,Manufacture and processing of basic metals,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of chemicals; coke and refined petroleum products,"Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of fabricated metal products,Manufacture of food products and tobacco products,Manufacture of glass and glass products; ceramics; processing of stones and earth,Manufacture of machinery and equipment,"Manufacture of motor vehicles, trailers and other transport equipment",Manufacture of paper and paper products,Manufacture of rubber and plastic products,Manufacture of textiles and wearing apparel,"Manufacture of wood and of products of wood, straw and plaiting materials (excluding furniture)",Membership organisations; religious and other associations (excluding social work and sports),Not stated; activities of extraterritorial organisations and bodies,Other manufacturing; repair and installation of machinery and equipment,Postal and courier activities,Printing and reproduction of recorded media,Public administration and defence; compulsory social security,Publishing; audiovisual and broadcasting activities,Real estate activities,Repair of computers and personal/household goods; other predominantly personal service activities,Residential care activities (excluding holiday and recreational homes),Retail trade (excluding motor vehicles and motorcycles),"Scientific research and development; other professional, scientific and technical activities; veterinary activities",Social work activities without accommodation,Specialised construction activities,Telecommunications; IT services; information service activities,Warehousing and support activities for transportation,Water transport and air transport,Wholesale and retail trade and repair of motor vehicles and motorcycles,Wholesale trade (excluding motor vehicles and motorcycles)
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01384177466635639,0.0,0.0,0.0,0.0,0.07368768288961099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027018138679256952,0.0,0.007765606518113626,0.0,0.0,0.0022333664914668855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004452450815610146,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00754628927149563,0.0,0.0,0.0,0.004542782643143415,0.0,0.0,0.0,0.0,0.0,0.033780286502603486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003066110838005805,0.0,0.0,0.0,0.0,0.0,0.035504376980446256,0.0,0.0,0.0,0.0,0.0,0.0,0.0008934197623263857
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001127863337830914,0.0,0.0,0.0,0.0015245656865840234,0.0,0.0,0.0,0.0,0.0,0.0,0.007447285052856066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046440559888475626,0.0,0.0,0.0,0.0,0.0,0.0,0.00492329087477102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005734378600202895
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24544765403964358,0.0,0.0,0.0031266044485982153,0.0,0.0,0.0,0.010738347401258758,0.0,0.0,0.0,0.0,0.0,0.02454833106359654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00480946210955567
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006627858406851326,0.0,0.002027749751994228,0.0,0.0,0.018105524005440382,0.0,0.0,0.0,0.01858617275491753,0.0,0.007163665436121046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013415588645846736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061141717523148535,0.006822462719718478,0.0,0.0,0.013998960417216861,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.005753447511764205,0.0,0.0,0.0,0.0,0.0,0.013325040432480222,0.0,0.0029685719114146444,0.0,0.0,0.0,0.0,0.0,0.0,0.017779420264381507,0.0,0.0,0.006049089886823072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002983263373092805,0.015622944850915093,0.0,0.0,0.0,0.0,0.0,0.0,0.0040851011286072575
2017,0.0,0.0,0.036126930682658605,0.0,0.0,0.0,0.003435974096204769,0.0,0.0,0.0,0.09131328316435947,0.006591410880787989,0.0068504404602571,0.0,0.007080181614461928,0.011489603468936193,0.0,0.0,0.0,0.0,0.0,0.03302184280619348,0.0,0.002039308104706258,0.0,0.0,0.02657863382806256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030820796082345905,0.06075867780276156,0.0,0.0,0.006850987584261747,0.0,0.0,0.0,0.007107649661678515
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.01928740708648976,0.0,0.0,0.0,0.0025621016924208114,0.0,0.01041644888595462,0.0,0.005631499866934153,0.02539686894458571,0.0,0.03625526144428188,0.0,0.0,0.001255898186583992,0.021625389343395886,0.0,0.0,0.013250171655137997,0.0,0.0020068094315798903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007833345879742317,0.03551964741636155,0.0,0.0,0.0,0.002184199795507628,0.01772435085007657,0.0,0.0,0.009604327868663666,0.0,0.0,0.0,0.0020755023052487416
2019,0.0,0.0,0.12980109301516912,0.0,0.0011055027828959741,0.0,0.004526084984783449,0.0,0.0,0.0,0.01376551041217127,0.0,0.005039910067921001,0.0,0.012178789189251112,0.01087242589996088,0.0,0.0477014361924239,0.0,0.2356181965824936,0.0017439458737332322,0.016655908120396534,0.0,0.0,0.015127574128623925,0.0,0.0011965900225130804,0.0,0.0,0.0,0.0,0.0,0.01697348443497287,0.012355658458690221,0.0,0.0,0.0,0.0019030260045331808,0.009333133269245819,0.0,0.0,0.0,0.0,0.03982157853658274,0.0,0.0,0.009849013025992627,0.0,0.0,0.0,0.005779305277960612
