adve_time_year,Non-commissioned armed forces officers,Information and communications technology professionals,Unknown,Science and engineering professionals,Production and specialised services managers,Business and administration professionals,Health associate professionals,Teaching professionals,"Chief executives, senior officials and legislators",Administrative and commercial managers,"Labourers in mining, construction, manufacturing and transport","Legal, social and cultural professionals",Information and communications technicians,Stationary plant and machine operators,Science and engineering associate professionals
2010,0.0,0.0,0.0,0.005287567130910885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.004008169025720087,0.0,0.0017772185534921825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002190073239691324
2012,0.0,0.005174900772601556,0.0,0.006130425060749517,0.0,0.0,0.0,0.008616457948034697,0.0,0.0,0.01592105350176468,0.0,0.0,0.0,0.0
2013,0.0,0.007716662391116729,0.0015145373607180228,0.0,0.0,0.0,0.012553657317988342,0.0,0.0,0.0,0.08023985436062867,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0023726876728590546,0.0,0.0,0.050831542217050815,0.0,0.06483657401215454,0.0,0.0,0.0,0.0,0.020280456857145336,0.002079151556753528
2015,0.0,0.00800681645777951,0.0,0.01623201131254653,0.010945704684168436,0.0,0.0,0.0,0.0,0.01600497100420573,0.0,0.0,0.0,0.018270433479600084,0.0011073064829320402
2016,0.0,0.009375426187327972,0.0,0.007112346575538877,0.014725232681804337,0.00395743636159946,0.0035846691849917177,0.0,0.016605554880506586,0.008156641626833078,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.014489003117271994,0.2252477944343515,0.022686576299531757,0.03218391926183363,0.013888020165727788,0.02501078031747018,0.12808264293076255,0.01853149703007759,0.004365200205002071,0.0,0.0011836977593489189,0.01497432599639295,0.0,0.0
2018,0.0,0.02787033370317698,0.01291236362431912,0.018146928339341128,0.019065895922831286,0.01303423856930042,0.008763991256172771,0.003917299146452657,0.0,0.0,0.0,0.0,0.007132820939870057,0.00501135564284636,0.0
2019,0.0,0.030090249133054043,0.025344359889910434,0.050992610179540925,0.0026446919575539916,0.02912194982103167,0.031035821967686835,0.0,0.0,0.001557130776776753,0.0,0.01052999145605023,0.0,0.0,0.0017110129947582305
2020,0.0,0.03196794823510233,0.02129833686002359,0.024342934103332874,0.0,0.018012319917561234,0.01029502295286002,0.0,0.0,0.0,0.0,0.015574048484525458,0.00854766726971363,0.0,0.0037263580218907856
2021,0.6328062389590245,0.03931082366394987,0.0,0.044085267267664305,0.1455593160212561,0.049820318300725794,0.006164842715800762,0.0019501766808752434,0.0,0.01459834398076966,0.0,0.006253026272384771,0.0,0.0,0.0
2022,0.0,0.08193825439508569,0.02881035051885712,0.032128553754565886,0.03579848377790635,0.03600039045512782,0.009874685380353469,0.0,0.02858186371867118,0.023376626415140562,0.0,0.0003355939191796825,0.014440003813311716,0.0,0.0
2023,0.0,0.05470714464066202,0.02427969113691866,0.02901596649289025,0.0,0.0033991969278862086,0.0,0.01042006227456255,0.0,0.04176362932393201,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.046626511707680056,0.021212202550473267,0.02668242886721337,0.004213432712599744,0.04458533452223539,0.0031812170365378306,0.0022383434506447883,0.0,0.0018746482713631618,0.0,0.027114057529330965,0.01220769543686906,0.0,0.026919238051678507
