adve_time_year,"IT, programming","analysis/research, controller",accounting and finance,"publishing, creative work","planning, engineering, designing/drawing","educating/teaching, advising","disposing, organizing, leading","set up, operator","writing, correspondence, administration","purchasing/sales, cashier, customer service",medical and cosmetical care,guard,"supervisor, hiring",store and transport,"installation, assembly, construction"
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011833125009876058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0015515429795479746,0.002333887436076047,0.002304918127306273,0.0,0.0,0.0,0.0,0.0,0.0,0.0009127670973619063,0.0,0.0,0.0,0.0,0.0
2012,0.004084173508042468,0.0012774399286268761,0.0,0.0,0.0,0.006055326403235903,0.0032445273848510678,0.0,0.004667421060410233,0.0,0.0,0.0,0.0,0.0017871728066972974,0.0
2013,0.008420180788106553,0.0018324303018222934,0.0,0.0,0.0,0.0009237717812618963,0.0,0.013623743953966155,0.0,0.0,0.0,0.0,0.0,0.014340489587863738,0.0
2014,0.0,0.0023303207691485607,0.0,0.0,0.0,0.0,0.007226337420651688,0.0,0.0033155343537935983,0.001083227585120104,0.007672139142259702,0.0,0.0,0.0,0.0
2015,0.016741212767829628,0.005993087009555858,0.010615217552926383,0.06515408884196754,0.0,0.0,0.0054133028449664285,0.0021773709215052884,0.0,0.0,0.0,0.019335220966860356,0.0,0.0,0.0
2016,0.014680886152526426,0.011592652694501469,0.0,0.0,0.0,0.0,0.0032078705882738175,0.0,0.0030088885460529007,0.0,0.0030358451307605496,0.0,0.005383095953876711,0.0,0.0
2017,0.031924953126214455,0.03334982111337771,0.009627842916336678,0.007136727203955175,0.016127138931578567,0.05436731327445794,0.0019503447831353655,0.005608310038682665,0.005585255416374389,0.0023074268013251113,0.0,0.0,0.0,0.0,0.0
2018,0.02867681869188943,0.013462923195862207,0.0,0.0,0.004216326523005539,0.013017834894309032,0.007288307175172738,0.0,0.003361449793596191,0.002233570931498324,0.0018261976523013122,0.0,0.0,0.0,0.0
2019,0.05112942268293708,0.022257554864175425,0.04637135848781975,0.0,0.009804661049943717,0.0,0.010365071987068085,0.004774690987770761,0.008302541561442327,0.0011748475427017671,0.005931483573919951,0.0,0.0,0.0,0.0
2020,0.03567323555191421,0.051763600556378055,0.0,0.0,0.004388397579985112,0.0,0.000500973848567352,0.0018440448698671722,0.0037996148589101207,0.0,0.0023916407176279783,0.0,0.0,0.0,0.0
2021,0.05126824526327455,0.08603725684693721,0.03470131246166141,0.0,0.0008039662226455015,0.0,0.010073491290108996,0.0038789996256262797,0.005474699315531503,0.001309277483092177,0.0020306813488236326,0.0,0.0,0.0,0.0
2022,0.08818340438164803,0.03658581087500007,0.004808419171728974,0.0,0.00857691783580183,0.003636115609410688,0.005549951932518517,0.0,0.0022076469316877323,0.012129637221244969,0.0026468843798306647,0.0,0.010941108380807578,0.0,0.007164746744130528
2023,0.03437438268374161,0.039007141772609624,0.0013283196316721294,0.0,0.011351732638268948,0.004077769980665697,0.008528054342342394,0.0,0.0020332877031941643,0.007311547096898773,0.0,0.0,0.0,0.0,0.0
2024,0.0681664022323678,0.05979774569990921,0.0,0.031074900564843907,0.03442660718154313,0.00384391741303669,0.003908521112119693,0.0,0.00043792349492553936,0.0017512816631236364,0.0007801304076670007,0.0,0.0,0.0,0.0
