group,overall_avg,avg_2010_2014,avg_2020_2024
GE,0.01050693063633068,0.00046360121151390216,0.013848088626559393
VD,0.010144976255533749,0.0005126422537065101,0.012143184040493521
Unknown,0.009808598261031493,0.0,0.018808202334384138
ZG,0.008492546366787986,0.0,0.018594197166379917
BS,0.008357678752507612,0.00027769579002421613,0.014083867215594612
SZ,0.008014094712751139,0.009041752842650658,0.015000531295602757
ZH,0.008010322710937785,0.0011147463437291441,0.016298813095843166
VS,0.00688969113806095,0.0035393950512101952,0.01712967836297265
AI,0.005409984697420868,0.0,0.0
SO,0.005359077069450919,0.005168402393827149,0.006765457049372976
SH,0.004792792440434673,0.0006050144723400103,0.0010573475408095514
BE,0.004145893343290041,0.0012601814527217591,0.00866128549740539
SG,0.0032877976118636807,0.0005516754360199354,0.0071794983622494365
TG,0.002605038999207242,0.0,0.0015903342674981058
LU,0.0022586946737736314,0.0,0.0057499813056933
