group,overall_avg,avg_2010_2014,avg_2020_2024
Activities of head offices; management consultancy activities,0.061454321877556485,0.0,0.1511773608931039
"Scientific research and development; other professional, scientific and technical activities; veterinary activities",0.04878596723120925,0.007100875396089251,0.11110702334552762
Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.017142589551210407,0.0,0.0005868947861489896
"Arts, entertainment and recreation",0.016363176935976238,0.049089530807928716,0.0
Education,0.015777809560141857,0.0023601514115849523,0.022119526533680038
Financial service activities,0.014536070606058549,0.0,0.036076293898454216
"Manufacture of computer, electronic and optical products",0.012037233222840808,0.0020298197841563522,0.014832634690268378
Publishing; audiovisual and broadcasting activities,0.011011880709257594,0.0,0.024065085990651304
Wholesale trade (excluding motor vehicles and motorcycles),0.00977459903392931,0.00228745209441699,0.023226833332671913
Manufacture of chemicals; coke and refined petroleum products,0.009470579949732093,0.011665723513240005,0.01614604752389282
Public administration and defence; compulsory social security,0.008498964857062719,6.13222167601161e-05,0.02348829797757294
Architectural and engineering activities; technical testing and analysis,0.008084198274938146,0.0,0.017652012088966003
Manufacture of rubber and plastic products,0.0068623146391340465,0.0,0.02058694391740214
Warehousing and support activities for transportation,0.005688608383960107,0.0,0.01706582515188032
Legal and accounting activities; auditing; tax consultancy,0.005597113175780386,0.0,0.0
