group,overall_avg,avg_2010_2014,avg_2020_2024
Non-commissioned armed forces officers,0.042187082597268305,0.0,0.12656124779180492
Information and communications technology professionals,0.02408548289536859,0.0033799464378876745,0.050910136528496
Unknown,0.024041309091704776,0.00030290747214360453,0.019120116213254525
Science and engineering professionals,0.01913290144067851,0.003113579683602328,0.031251030097133335
Production and specialised services managers,0.017675778467996926,0.0,0.03711424650235244
Business and administration professionals,0.014121280336079718,0.0,0.03036351202470729
Health associate professionals,0.010753082023127518,0.012677039907007831,0.005903153617110416
Teaching professionals,0.010348332162088832,0.0017232915896069393,0.0029217164812165167
"Chief executives, senior officials and legislators",0.008570365976093992,0.012967314802430907,0.0057163727437342365
Administrative and commercial managers,0.007446479440268202,0.0,0.01632264959824108
"Labourers in mining, construction, manufacturing and transport",0.006410727190826223,0.01923218157247867,0.0
"Legal, social and cultural professionals",0.004066027694721335,0.0,0.009855345241084177
Information and communications technicians,0.0038201675637438274,0.0,0.007039073303978881
Stationary plant and machine operators,0.0029041497319727853,0.004056091371429068,0.0
Science and engineering associate professionals,0.0025155426898469608,0.0008538449592889703,0.006129119214713858
