group,overall_avg,avg_2010_2014,avg_2020_2024
"Arts, entertainment and recreation",0.016363176935976238,0.049089530807928716,0.0
Education,0.015777809560141857,0.0023601514115849523,0.022119526533680038
"Professional, scientific and technical activities",0.013359233101292696,0.0005342573946883199,0.026595292314893944
Financial and insurance activities,0.010896818442288486,0.0,0.023492327780603027
Information and communication,0.009493733230853669,0.0008904901631220293,0.019503776048593588
Public administration and defence; compulsory social security,0.008498964857062719,6.13222167601161e-05,0.02348829797757294
Real estate activities,0.005162313274276807,0.0,0.01548693982283042
Manufacturing,0.005159820013237269,0.001616589648363463,0.006813877850183667
Transportation and storage,0.0042636458982704215,0.0023426708828518175,0.010448266811959447
Wholesale and retail trade; repair of motor vehicles,0.004169708852478476,0.0011615762011246552,0.008437492906663884
"Electricity, gas, water supply; sewerage, waste management",0.004159724682620169,0.0,0.011160891871702907
Human health and social work activities,0.0031940348819232208,0.0022764550910212723,0.0035937597817562545
Activities of households as employers,0.001765404668501569,0.0,0.0052962140055047065
Activities of extraterritorial organisations,0.001718083140302464,0.0,0.0
Administrative and support service activities,0.0013992395900823517,0.0,0.003976618213667861
