group,overall_avg,avg_2010_2014,avg_2020_2024
Region Lausanne,0.012510868687517877,0.004191679557880577,0.012165606883642295
Region Genf,0.00944671072905988,0.0003282945368419579,0.013076709256977978
Region Zürich,0.007161662734745986,0.0010823620367565023,0.014472381711243616
Westalpen,0.007104488445794728,0.0,0.021313465337384187
not applicable (not assignable to region),0.0063425829029556645,0.0,0.012616846087414178
Region Bern,0.005845115733770513,0.0005036727555033497,0.012672960409748043
Region Basel,0.005001310477219731,0.00021686487664590278,0.007464999720924225
Zentralschweiz,0.0042235609168583,0.0015378745220195555,0.00857305263532172
Aareland,0.0035015894257191546,0.005221162196023062,0.0022881431685188376
Bodenseeregion,0.003123285937897243,0.0,0.004944123089202555
Region Biel–Jura,0.0028260128512936702,0.0020546597223022136,0.0064233788315787976
Sottoceneri,0.002744177112149867,0.0,0.008232531336449602
Region Freiburg,0.00113140082771538,0.0,0.00017763037159417402
Region Neuenburg,0.001074462091868806,0.0,0.0014807776772455326
Ostalpen,0.0009834092995764908,0.0010697719674591074,0.0009609503581748567
