group,overall_avg,avg_2010_2014,avg_2020_2024
"IT, programming",0.028991657387336014,0.0028111794551393993,0.055533134022589234
"analysis/research, controller",0.024508111537598704,0.0015548156871347553,0.05463831115016683
accounting and finance,0.007317159223296773,0.0004609836254612546,0.008167610253012502
"publishing, creative work",0.006891047774051109,0.0,0.006214980112968781
"planning, engineering, designing/drawing",0.005979716530851489,0.0,0.011909524291648904
"educating/teaching, advising",0.005728136623758523,0.00139581963689956,0.0023115606006226153
"disposing, organizing, leading",0.00448378364731841,0.002094172961100551,0.005712198505131391
"set up, operator",0.002916019027152959,0.005091373792768443,0.0011446088990986903
"writing, correspondence, administration",0.002812950869061247,0.0015965910828407662,0.002790634460849812
"purchasing/sales, cashier, customer service",0.002014238894824451,0.00039919893649640204,0.004500348692871911
medical and cosmetical care,0.0017543334902127194,0.0015344278284519404,0.0015698673707898552
guard,0.0012890147311240237,0.0,0.0
"supervisor, hiring",0.0010882802889789526,0.0,0.0021882216761615154
store and transport,0.0010751774929707357,0.003225532478912207,0.0
"installation, assembly, construction",0.00047764978294203517,0.0,0.0014329493488261056
