group,avg_js_shift,cumulative_js_shift,period_js_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,0.3340374749268425,4.676524648975795,0.16759196283312272,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",0.7657590121923148,6.891831109730833,0.8515769396112154,-1.5142456066346772,57.7969
Assemblers,0.6865596509657,9.6118351135198,0.553745558450303,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),0.5080538084780575,7.112753318692804,0.41448010076912334,-1.2907143748320926,11140.1658
Business and administration associate professionals,0.1980686432715947,2.7729610058023257,0.09085679221408662,1.0478081639659278,5959.567
Business and administration professionals,0.23487261343768157,3.288216588127542,0.1162656876813189,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",0.517763190373641,7.248684665230974,0.2900229900682991,0.9610230216035534,611.4951
Cleaners and helpers,0.39566310569828245,5.539283479775954,0.30348400758240884,-1.4997705789853673,1201.5325
Customer services clerks,0.3964726954401205,5.550617736161687,0.26263688180651823,0.6303640354643951,1520.9937
Drivers and mobile plant operators,0.5767302853266584,8.074223994573217,0.41828485372583624,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,0.4162861920125742,5.828006688176039,0.20913657174298192,-0.7349496179052712,4479.786
Food preparation assistants,0.7793183995313422,10.91045759343879,0.5871967642507991,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",0.6876576531640237,9.627207144296332,0.4638238700532804,-0.6779829308451333,1611.2505
General and keyboard clerks,0.24779925983578602,3.469189637701004,0.15212689638480312,1.2213061570791275,7405.604
Handicraft and printing workers,0.7373654441517022,10.32311621812383,0.6000529038486788,-0.32556086158275016,689.8496
Health associate professionals,0.4137741909751408,5.792838673651971,0.3801918342557686,-0.21068215870004492,5099.0548
Health professionals,0.16313696132469932,2.2839174585457904,0.1179127876889205,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",0.6706130165538101,9.388582231753341,0.3854221124266027,0.16352363563212194,234.90890000000002
Information and communications technicians,0.33511441347904725,4.691601788706661,0.1735065495065264,0.4995513847055337,1075.2398
Information and communications technology professionals,0.11940449108172314,1.671662875144124,0.057981153309989944,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",0.7666798116433167,10.733517363006433,0.6148820112248229,-1.3370254996261164,698.311
"Legal, social and cultural professionals",0.4966724353781401,6.953414095293962,0.3547320246209651,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",0.5750716824397948,8.051003554157127,0.3980966496831607,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,0.7461240518015467,10.445736725221654,0.37274151198086536,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",0.9999999999070793,2.999999999721238,,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",0.304353903874565,4.2609546542439105,0.21442196304791955,-1.0504398253684317,7006.2538
Numerical and material recording clerks,0.26367612561581,3.69146575862134,0.13580099601762413,0.9230494529805006,3252.2544000000003
Other clerical support workers,0.2861929681389985,4.006701553945979,0.2216005609154864,0.8912907744771499,3023.8051
Personal care workers,0.46380510012059883,6.493271401688384,0.28621189104503947,-0.3070549324017815,4594.922
Personal service workers,0.28820354940313603,4.034849691643904,0.15810383831413055,-0.7577211531984667,10568.3659
Production and specialised services managers,0.42931744081090045,6.0104441713526064,0.18845364707208376,0.857573033629368,3472.7029
Protective services workers,0.6031792022131484,8.444508830984077,0.5220624273098766,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,0.8507001586517301,10.20840190382076,0.8688544892982559,-1.043410505531454,697.1471
Sales workers,0.30078746593833966,4.211024523136755,0.26582905327576434,0.033129014706379,8845.2163
Science and engineering associate professionals,0.21782329095361705,3.0495260733506386,0.10908053079796065,0.16136436653651046,14005.1178
Science and engineering professionals,0.29794738391179737,4.1712633747651635,0.15262486227657693,1.045776739799056,8138.8805
Stationary plant and machine operators,0.6068992392063712,8.496589348889197,0.40838210144940756,-0.9626187364989638,792.9497
Teaching professionals,0.4660108555272677,6.524151977381748,0.3400182656405597,0.876818073832164,2831.0222
