group,avg_js_shift,cumulative_js_shift,period_js_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,0.299878697933864,4.198301771074096,0.17597076250349747,-1.0130976303741126,6992.9135
Administrative and support service activities,0.48852024018172147,6.8392833625441005,0.29923654000924116,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",0.8372021886838086,11.72083064157332,0.7560484684627384,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",0.7868742487913496,11.016239483078895,0.6861378274912491,-0.14435774545454544,2216.1712
Construction,0.3276539030850763,4.587154643191068,0.24607190215694894,-1.1708856151941265,5540.3426
Education,0.40239702906198616,5.633558406867806,0.22934406126579068,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",0.46977814979781163,6.576894097169363,0.2635697823043808,-0.6259457333333335,3594.2578
Financial and insurance activities,0.1980489072943953,2.772684702121534,0.18302246882470874,2.058954964776237,8047.3062
Human health and social work activities,0.17145731614176238,2.4004024259846735,0.1270222504311681,0.5957591752384276,26565.0617
Information and communication,0.19943915889424005,2.7921482245193605,0.12867737582416305,1.0935346964314914,10443.3237
Manufacturing,0.15465862906075384,2.1652208068505536,0.1016921368953509,-0.2821855571288053,23200.9859
Other service activities,0.5333269511282045,7.466577315794862,0.38358406868903056,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",0.2305146773127605,3.2272054823786473,0.17403095009725433,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,0.38520472300975683,5.392866122136596,0.2433295894149436,-0.06395094999999994,2188.2827
Real estate activities,0.3762441971311005,5.267418759835407,0.27681766435138644,0.9475425749999998,1178.2777
Transportation and storage,0.3652877303595067,5.114028225033094,0.37602476353538666,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,0.22489747786610875,3.1485646901255224,0.14158103988668802,0.08708871094876754,16373.4958
