group,avg_js_shift,cumulative_js_shift,period_js_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,0.14839330761473374,2.0775063066062724,0.13121658742465925,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",0.6029495551472317,4.823596441177854,0.17052233145439724,-1.5142456066346772,57.7969
Assemblers,0.49091732714224195,6.872842579991388,0.20918546166648105,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),0.15722280380678352,2.2011192532949693,0.11529151028219173,-1.2907143748320926,11140.1658
Business and administration associate professionals,0.0870995940127856,1.2193943161789984,0.06963748630087624,1.0478081639659278,5959.567
Business and administration professionals,0.08579749459628207,1.201164924347949,0.05498160455653107,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",0.3683101582072844,5.156342214901982,0.17134630984100996,0.9610230216035534,611.4951
Cleaners and helpers,0.33648957173066035,4.374364432498584,0.5097005928761297,-1.4997705789853673,1201.5325
Customer services clerks,0.18683219829824407,2.615650776175417,0.10475533992299305,0.6303640354643951,1520.9937
Drivers and mobile plant operators,0.2441779906360033,3.418491868904046,0.2275228638679182,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,0.13595845335287554,1.9034183469402575,0.07517832495657215,-0.7349496179052712,4479.786
Food preparation assistants,0.41584531670088554,4.990143800410626,0.2289232299281011,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",0.3181395054773387,4.453953076682742,0.11900775595906604,-0.6779829308451333,1611.2505
General and keyboard clerks,0.08721910330116556,1.2210674462163178,0.04661862383736257,1.2213061570791275,7405.604
Handicraft and printing workers,0.40307986277958624,5.643118078914207,0.1365278257016393,-0.32556086158275016,689.8496
Health associate professionals,0.20416125783248193,2.858257609654747,0.10686670018565803,-0.21068215870004492,5099.0548
Health professionals,0.08140239705966416,1.1396335588352984,0.08349586810045567,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",0.562350804374017,7.872911261236238,0.15124624482148818,0.16352363563212194,234.90890000000002
Information and communications technicians,0.12843595878787734,1.7981034230302828,0.0470050765206934,0.4995513847055337,1075.2398
Information and communications technology professionals,0.03372170861071226,0.47210392054997163,0.0215468784191907,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",0.458708645974975,6.42192104364965,0.25269098995034783,-1.3370254996261164,698.311
"Legal, social and cultural professionals",0.18811402691515441,2.6335963768121617,0.13506996059569742,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",0.19387462138260791,2.714244699356511,0.10288581244571297,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,0.3437667414733572,4.468967639153643,0.15347772723618872,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",0.7531209403583626,2.259362821075088,0.9999999999012548,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",0.10088268097090769,1.4123575335927077,0.0342922336300229,-1.0504398253684317,7006.2538
Numerical and material recording clerks,0.11028231102514975,1.5439523543520965,0.036057014525010374,0.9230494529805006,3252.2544000000003
Other clerical support workers,0.12682133957692007,1.775498754076881,0.052837012461629196,0.8912907744771499,3023.8051
Personal care workers,0.22123583873960637,3.0973017423544893,0.16214549013286433,-0.3070549324017815,4594.922
Personal service workers,0.1187588564576885,1.662623990407639,0.09632352801999444,-0.7577211531984667,10568.3659
Production and specialised services managers,0.18218214467932153,2.5505500255105016,0.08601776209118463,0.857573033629368,3472.7029
Protective services workers,0.3035067741266548,4.249094837773167,0.14945782065504043,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,0.5039238471336412,6.551010012737336,0.5683097304559535,-1.043410505531454,697.1471
Sales workers,0.13330869070962822,1.866321669934795,0.11055181592897587,0.033129014706379,8845.2163
Science and engineering associate professionals,0.07387997276386202,1.0343196186940682,0.029739788996646338,0.16136436653651046,14005.1178
Science and engineering professionals,0.11144113367539833,1.5601758714555767,0.07730330091181024,1.045776739799056,8138.8805
Stationary plant and machine operators,0.30809113974441654,4.3132759564218315,0.18960390856202292,-0.9626187364989638,792.9497
Teaching professionals,0.13248896713449196,1.8548455398828876,0.1805193414618912,0.876818073832164,2831.0222
