group,avg_js_shift,cumulative_js_shift,period_js_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,0.1719509650241002,2.407313510337403,0.11656129454988101,-1.0130976303741126,6992.9135
Administrative and support service activities,0.23999113647061612,3.3598759105886256,0.1109840194707202,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",0.32498962691031136,3.8998755229237365,0.36592804559453584,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",0.42991523209088117,6.018813249272337,0.2804205859092655,-0.14435774545454544,2216.1712
Construction,0.0894298984419828,1.2520185781877593,0.07765803582706354,-1.1708856151941265,5540.3426
Education,0.10346766275743433,1.4485472786040805,0.09112656354304334,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",0.297258481666725,4.1616187433341505,0.15058767340305398,-0.6259457333333335,3594.2578
Financial and insurance activities,0.07808366377334493,1.093171292826829,0.07817368573375286,2.058954964776237,8047.3062
Human health and social work activities,0.0502834143152383,0.7039678004133362,0.04506292266734305,0.5957591752384276,26565.0617
Information and communication,0.05552206154081829,0.7773088615714561,0.0296002122570861,1.0935346964314914,10443.3237
Manufacturing,0.031457844245989464,0.4404098194438525,0.0225370801249778,-0.2821855571288053,23200.9859
Other service activities,0.20300678812358228,2.842095033730152,0.1108783627839014,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",0.08804204793055993,1.232588671027839,0.07446441174037957,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,0.135904004424818,1.9026560619474522,0.12564310368460047,-0.06395094999999994,2188.2827
Real estate activities,0.20209765656891646,2.82936719196483,0.16502030394801764,0.9475425749999998,1178.2777
Transportation and storage,0.15614744654184637,2.186064251585849,0.05972389707526518,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,0.06920030915456486,0.9688043281639082,0.04355497973599946,0.08708871094876754,16373.4958
