group,avg_js_shift,cumulative_js_shift,period_js_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,0.13155025298888331,1.8417035418443664,0.06170647119586345,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",0.7585458262434274,8.344004088677702,0.5206902501714126,-1.5142456066346772,57.7969
Assemblers,0.40972087793678674,5.736092291115014,0.1997702509253791,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),0.14432010425926964,2.020481459629775,0.10032542417997178,-1.2907143748320926,11140.1658
Business and administration associate professionals,0.08335334319719398,1.1669468047607157,0.03545008312350361,1.0478081639659278,5959.567
Business and administration professionals,0.07183293012884116,1.0056610218037763,0.04215223788144347,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",0.2772367236712451,3.8813141313974313,0.12118250821804744,0.9610230216035534,611.4951
Cleaners and helpers,0.2935900318999613,4.110260446599458,0.2868467851516646,-1.4997705789853673,1201.5325
Customer services clerks,0.19283512847533937,2.6996917986547513,0.07368709387720568,0.6303640354643951,1520.9937
Drivers and mobile plant operators,0.19675687421075674,2.7545962389505942,0.08900621615345979,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,0.148943010989097,2.085202153847358,0.0600064783135164,-0.7349496179052712,4479.786
Food preparation assistants,0.6476244177162528,9.066741848027538,0.37085680836733836,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",0.31035351444668624,4.344949202253607,0.09465789032861854,-0.6779829308451333,1611.2505
General and keyboard clerks,0.10505999968339094,1.4708399955674731,0.03554494189670669,1.2213061570791275,7405.604
Handicraft and printing workers,0.43115707211640325,6.036199009629645,0.25367302124541136,-0.32556086158275016,689.8496
Health associate professionals,0.14802981456779934,2.0724174039491907,0.09905727769220651,-0.21068215870004492,5099.0548
Health professionals,0.060962894483857145,0.853480522774,0.03756416893428782,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",0.5456340876869988,7.638877227617983,0.35803227187740255,0.16352363563212194,234.90890000000002
Information and communications technicians,0.24226692562148602,3.3917369587008044,0.11151780620199699,0.4995513847055337,1075.2398
Information and communications technology professionals,0.08719255361629728,1.220695750628162,0.041198132458689404,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",0.3396881499578023,4.755634099409232,0.18616141278998366,-1.3370254996261164,698.311
"Legal, social and cultural professionals",0.24532558343293112,3.4345581680610358,0.1469405838370413,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",0.270646899037702,3.789056586527828,0.12733732987211316,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,0.41888144535106114,5.864340234914856,0.3019413279525933,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",0.5194899554311704,1.5584698662935113,0.5354328883083661,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",0.11117811947820086,1.556493672694812,0.04636976050817522,-1.0504398253684317,7006.2538
Numerical and material recording clerks,0.12117102267960207,1.696394317514429,0.05659077112698664,0.9230494529805006,3252.2544000000003
Other clerical support workers,0.13948132582970585,1.9527385616158819,0.08307134040338238,0.8912907744771499,3023.8051
Personal care workers,0.22172657198405424,3.1041720077767594,0.10322596560261128,-0.3070549324017815,4594.922
Personal service workers,0.10234067232824066,1.4327694125953694,0.05206130572338876,-0.7577211531984667,10568.3659
Production and specialised services managers,0.20295591063569127,2.8413827488996777,0.094459370079936,0.857573033629368,3472.7029
Protective services workers,0.30413754570137436,4.257925639819241,0.1344852035891722,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,0.5060507647831872,7.084710706964621,0.3135197213371931,-1.043410505531454,697.1471
Sales workers,0.07798071504449856,1.09173001062298,0.07121581815639899,0.033129014706379,8845.2163
Science and engineering associate professionals,0.08967163010805727,1.255402821512802,0.04015855232206086,0.16136436653651046,14005.1178
Science and engineering professionals,0.11394054606773547,1.5951676449482965,0.08218108312445685,1.045776739799056,8138.8805
Stationary plant and machine operators,0.22990710761296557,3.218699506581518,0.10391780651113762,-0.9626187364989638,792.9497
Teaching professionals,0.20089092098501027,2.8124728937901438,0.08049390936069199,0.876818073832164,2831.0222
