group,avg_js_shift,cumulative_js_shift,period_js_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,0.14828469815010606,2.075985774101485,0.0709672666862419,-1.0130976303741126,6992.9135
Administrative and support service activities,0.18935666156431144,2.65099326190036,0.19923631372678047,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",0.5174060889608211,7.243685245451495,0.3368391843543149,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",0.4730684360232629,6.62295810432568,0.3241800980035633,-0.14435774545454544,2216.1712
Construction,0.09297939068520268,1.3017114695928376,0.05581079093431423,-1.1708856151941265,5540.3426
Education,0.15339516727170363,2.147532341803851,0.06427785062796337,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",0.2555723630502133,3.5780130827029866,0.13213356393891307,-0.6259457333333335,3594.2578
Financial and insurance activities,0.07339820235693335,1.0275748329970669,0.07093741167303824,2.058954964776237,8047.3062
Human health and social work activities,0.04639375280280077,0.6495125392392107,0.027478695250239743,0.5957591752384276,26565.0617
Information and communication,0.10879580643932842,1.5231412901505978,0.07063197179662527,1.0935346964314914,10443.3237
Manufacturing,0.036645115923884274,0.5130316229343799,0.027654521034446572,-0.2821855571288053,23200.9859
Other service activities,0.2194767902295849,3.072675063214189,0.07650827706023347,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",0.08777679326937597,1.2288751057712637,0.08395824555040352,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,0.14074227333944458,1.9703918267522242,0.057915724194541884,-0.06395094999999994,2188.2827
Real estate activities,0.3099425002164525,4.339195003030334,0.12686848512370624,0.9475425749999998,1178.2777
Transportation and storage,0.14068464691947408,1.9695850568726372,0.0945051007766869,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,0.05252288313067609,0.7353203638294652,0.03565094572397866,0.08708871094876754,16373.4958
