group,avg_share_shift,cumulative_share_shift,period_share_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,1.5217824975213452,21.304954965298833,0.9299779180365928,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",0.7885840559846595,7.097256503861936,0.4220672200348548,-1.5142456066346772,57.7969
Assemblers,2.5084313079310325,35.118038311034454,1.6920752330838735,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),0.4504620902352447,6.306469263293426,0.4006049623630628,-1.2907143748320926,11140.1658
Business and administration associate professionals,1.2382765010591326,17.335871014827855,0.7657495643601273,1.0478081639659278,5959.567
Business and administration professionals,1.1479898698603244,16.07185817804454,0.7208353967518903,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",2.3588917335645023,33.024484269903034,1.672684282301352,0.9610230216035534,611.4951
Cleaners and helpers,0.5343476629284661,7.480867280998526,0.4655916635129905,-1.4997705789853673,1201.5325
Customer services clerks,1.2512097025346696,17.516935835485373,0.9971569348901729,0.6303640354643951,1520.9937
Drivers and mobile plant operators,0.706229873079217,9.887218223109038,0.5022845642036908,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,0.934033737175557,13.076472320457798,0.5998724101018529,-0.7349496179052712,4479.786
Food preparation assistants,0.7837347342934614,10.97228628010846,0.5924343874309344,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",1.1477231171290723,16.068123639807013,0.7881361636118488,-0.6779829308451333,1611.2505
General and keyboard clerks,0.8500609497299386,11.900853296219141,0.6464636558579205,1.2213061570791275,7405.604
Handicraft and printing workers,1.4965184116362669,20.951257762907737,1.0718404219498607,-0.32556086158275016,689.8496
Health associate professionals,0.8139920552100952,11.395888772941333,0.76369483744081,-0.21068215870004492,5099.0548
Health professionals,0.5823326698906236,8.15265737846873,0.5753762144114438,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",1.8926827096093715,26.4975579345312,1.2846306488275907,0.16352363563212194,234.90890000000002
Information and communications technicians,2.208330229352449,30.91662321093429,1.1761187977257246,0.4995513847055337,1075.2398
Information and communications technology professionals,1.2831882413295388,17.964635378613544,0.9185532201178054,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",1.2163435316755045,17.028809443457064,0.9664115602351627,-1.3370254996261164,698.311
"Legal, social and cultural professionals",1.4780563244465292,20.69278854225141,1.1034251405100408,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",0.8998856357485882,12.598398900480234,0.6701354918652855,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,0.7530238322680022,10.542333651752031,0.4401373216734033,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",2.975157241289162,8.925471723867485,,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",0.9892191305902337,13.849067828263271,0.7359573208891894,-1.0504398253684317,7006.2538
Numerical and material recording clerks,1.1195355197291428,15.673497276208,0.7978578998994192,0.9230494529805006,3252.2544000000003
Other clerical support workers,1.358937942696617,19.02513119775264,0.8323963076973633,0.8912907744771499,3023.8051
Personal care workers,0.9182398594181775,12.855358031854486,0.6073677661290638,-0.3070549324017815,4594.922
Personal service workers,0.3940650517536648,5.516910724551307,0.2804434723431072,-0.7577211531984667,10568.3659
Production and specialised services managers,1.7565018756615476,24.591026259261668,1.0999494922653315,0.857573033629368,3472.7029
Protective services workers,0.889843760357183,12.457812645000562,0.7324627694131626,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,0.8191947178348921,9.830336614018705,0.8315831141890614,-1.043410505531454,697.1471
Sales workers,0.6718068834277461,9.405296367988445,0.6858556528862885,0.033129014706379,8845.2163
Science and engineering associate professionals,1.200033937937722,16.80047513112811,0.7017710814899938,0.16136436653651046,14005.1178
Science and engineering professionals,1.512748866089742,21.178484125256386,1.0481242964967241,1.045776739799056,8138.8805
Stationary plant and machine operators,1.1309614256521086,15.833459959129518,0.8282364124875983,-0.9626187364989638,792.9497
Teaching professionals,0.7276548426026999,10.187167796437798,0.5978961492756862,0.876818073832164,2831.0222
