group,avg_share_shift,cumulative_share_shift,period_share_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,0.48683498574974066,6.8156898004963695,0.29580061470997493,-1.0130976303741126,6992.9135
Administrative and support service activities,1.1598789529060973,16.23830534068536,0.7049942634356381,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",1.3590584035668847,19.026817649936387,1.6573099825999595,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",1.5371829588805406,21.520561424327568,1.1971526987437036,-0.14435774545454544,2216.1712
Construction,0.665262469551135,9.31367457371589,0.6110425087647926,-1.1708856151941265,5540.3426
Education,0.8634340091239254,12.088076127734956,0.6199843051851066,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",1.690343154657587,23.66480416520622,0.9041147436692272,-0.6259457333333335,3594.2578
Financial and insurance activities,0.9280496950536451,12.99269573075103,0.8700193630398753,2.058954964776237,8047.3062
Human health and social work activities,0.5617183348009008,7.864056687212611,0.5032116116760141,0.5957591752384276,26565.0617
Information and communication,1.502154444386385,21.03016222140939,1.2494453800164873,1.0935346964314914,10443.3237
Manufacturing,0.8272476827024752,11.581467557834653,0.562974906303424,-0.2821855571288053,23200.9859
Other service activities,1.213341379025131,16.986779306351835,1.0572498425692798,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",1.209222028388691,16.929108397441674,0.9523027784952397,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,1.5523082863169602,21.732316008437444,1.025680220254015,-0.06395094999999994,2188.2827
Real estate activities,1.7203650383445763,24.085110536824068,1.4391700900605728,0.9475425749999998,1178.2777
Transportation and storage,1.175140255005718,16.45196357008005,1.1603408280783407,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,0.8499302836193711,11.899023970671195,0.6644785962919598,0.08708871094876754,16373.4958
