group,avg_share_shift,cumulative_share_shift,period_share_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,0.7908282766712184,11.071595873397056,0.6856541567283531,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",0.7053476525024135,5.642781220019308,0.47070360515393994,-1.5142456066346772,57.7969
Assemblers,1.2594458776860502,17.632242287604704,0.6865751297772053,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),0.24402266670271985,3.416317333838078,0.1946448060705047,-1.2907143748320926,11140.1658
Business and administration associate professionals,0.7749023914633325,10.848633480486654,0.9252524276603664,1.0478081639659278,5959.567
Business and administration professionals,0.7158694852218844,10.022172793106382,0.5552436980053199,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",0.793069215862509,11.102969022075126,0.476029968344335,0.9610230216035534,611.4951
Cleaners and helpers,0.4384698293335129,5.700107781335668,0.48957580671070555,-1.4997705789853673,1201.5325
Customer services clerks,0.8813030630522932,12.338242882732105,0.8710360489436033,0.6303640354643951,1520.9937
Drivers and mobile plant operators,0.2914620872904722,4.08046922206661,0.2704316014562517,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,0.6871008609612514,9.61941205345752,0.5655471067110177,-0.7349496179052712,4479.786
Food preparation assistants,0.42914385916438996,5.14972630997268,0.12915722604639093,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",0.7627853567091394,10.678994993927951,0.3921276463624099,-0.6779829308451333,1611.2505
General and keyboard clerks,0.660498568020522,9.246979952287308,0.3983374250734739,1.2213061570791275,7405.604
Handicraft and printing workers,1.1728345204026698,16.419683285637376,0.4863168821304322,-0.32556086158275016,689.8496
Health associate professionals,0.6449832857741596,9.029766000838235,0.4332831588235414,-0.21068215870004492,5099.0548
Health professionals,0.2662804558887575,3.7279263824426048,0.310393875019178,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",0.9547925708452365,13.367095991833311,0.3595406883627126,0.16352363563212194,234.90890000000002
Information and communications technicians,3.1485051169215486,44.07907163690168,1.5924995235354191,0.4995513847055337,1075.2398
Information and communications technology professionals,1.5259686339456047,21.363560875238466,1.1114737946943385,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",0.6382326925527186,8.935257695738061,0.41551692945349605,-1.3370254996261164,698.311
"Legal, social and cultural professionals",0.7596316170081963,10.634842638114748,0.4477796271465085,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",0.36067126639386343,5.049397729514088,0.2542306985470683,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,0.2609462697522755,3.392301506779581,0.12627718118762243,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",1.8464701176455833,5.53941035293675,2.537269552719661,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",0.5749011859056564,8.04861660267919,0.5015101021775193,-1.0504398253684317,7006.2538
Numerical and material recording clerks,0.7670281840328925,10.738394576460495,0.3710830553257407,0.9230494529805006,3252.2544000000003
Other clerical support workers,0.954106084077965,13.35748517709151,0.45696968291360945,0.8912907744771499,3023.8051
Personal care workers,0.43975185690432245,6.156525996660514,0.5021769974139827,-0.3070549324017815,4594.922
Personal service workers,0.200948573936811,2.813280035115354,0.22065151963859905,-0.7577211531984667,10568.3659
Production and specialised services managers,0.8731431793726289,12.224004511216805,0.46347603421029204,0.857573033629368,3472.7029
Protective services workers,0.6737551944899846,9.432572722859783,0.31943567163454006,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,0.5128190540864485,6.66664770312383,0.471858897381253,-1.043410505531454,697.1471
Sales workers,0.4285069626586142,5.999097477220599,0.4289488689792415,0.033129014706379,8845.2163
Science and engineering associate professionals,0.6802353901723623,9.523295462413072,0.36969238816256034,0.16136436653651046,14005.1178
Science and engineering professionals,1.0669168650097185,14.93683611013606,0.8349995343728321,1.045776739799056,8138.8805
Stationary plant and machine operators,0.6463240517516188,9.048536724522663,0.6026556095711741,-0.9626187364989638,792.9497
Teaching professionals,0.4594530763449441,6.432343068829217,0.4908637851574928,0.876818073832164,2831.0222
