group,avg_share_shift,cumulative_share_shift,period_share_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,0.2750877924967626,3.851229094954676,0.2089897067132133,-1.0130976303741126,6992.9135
Administrative and support service activities,0.6252171172117821,8.75303964096495,0.6581098207567142,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",0.6654947280641602,7.985936736769922,2.025840012639229,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",0.9010036008075432,12.614050411305604,0.5336153214115309,-0.14435774545454544,2216.1712
Construction,0.3445077184376229,4.823108058126721,0.5466219242553875,-1.1708856151941265,5540.3426
Education,0.5715606307140213,8.001848829996298,0.3627429057639153,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",1.7266280546602693,24.17279276524377,1.0456339222900097,-0.6259457333333335,3594.2578
Financial and insurance activities,0.656126201565811,9.185766821921355,0.5308151211769546,2.058954964776237,8047.3062
Human health and social work activities,0.26781845729587433,3.7494584021422406,0.2500309787288403,0.5957591752384276,26565.0617
Information and communication,1.6630384003533123,23.282537604946373,1.8163196156329522,1.0935346964314914,10443.3237
Manufacturing,0.40359265408438094,5.650297157181333,0.34620807382508745,-0.2821855571288053,23200.9859
Other service activities,0.8468227762401753,11.855518867362454,0.6839122200589174,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",0.9013084423648987,12.618318193108582,0.7898612313349537,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,0.8918770030616452,12.486278042863033,0.7413256204111561,-0.06395094999999994,2188.2827
Real estate activities,1.12334840219763,15.72687763076682,1.0015455897445855,0.9475425749999998,1178.2777
Transportation and storage,0.7631059141403227,10.683482797964517,0.5046519168060205,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,0.6110587387411772,8.55482234237648,0.47365547053111023,0.08708871094876754,16373.4958
