group,avg_share_shift,cumulative_share_shift,period_share_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,2.8533754379326504,39.9472561310571,1.702056998221488,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",3.2212448529955577,35.433693382951134,2.1831446126711826,-1.5142456066346772,57.7969
Assemblers,4.934645812974897,69.08504138164855,3.5192060622081085,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),1.7033799262862945,23.847318968008125,1.521635992621198,-1.2907143748320926,11140.1658
Business and administration associate professionals,2.203251872259426,30.84552621163196,1.4499970306204044,1.0478081639659278,5959.567
Business and administration professionals,1.9487188651260816,27.28206411176514,1.3586429791544883,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",4.228824469302209,59.20354257023093,2.9113074015856406,0.9610230216035534,611.4951
Cleaners and helpers,2.388509874575233,33.43913824405326,2.45472812485365,-1.4997705789853673,1201.5325
Customer services clerks,2.9484427974683713,41.2781991645572,1.8394365716202516,0.6303640354643951,1520.9937
Drivers and mobile plant operators,2.7845600330784683,38.98384046309856,2.080154834240058,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,2.054712081137937,28.765969135931122,1.3784027161887054,-0.7349496179052712,4479.786
Food preparation assistants,3.915280913346399,54.813932786849584,2.6278561124804267,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",2.9180930275251105,40.85330238535155,1.557533381486089,-0.6779829308451333,1611.2505
General and keyboard clerks,2.0809346452433863,29.13308503340741,1.1751638050109394,1.2213061570791275,7405.604
Handicraft and printing workers,3.0117859758799175,42.165003662318846,2.255240188839796,-0.32556086158275016,689.8496
Health associate professionals,2.363724360809313,33.09214105133038,2.1253619452931924,-0.21068215870004492,5099.0548
Health professionals,1.3461690168943747,18.846366236521245,1.5741114708339519,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",6.660674888804029,93.2494484432564,4.590700139373869,0.16352363563212194,234.90890000000002
Information and communications technicians,3.369310751051281,47.17035051471794,1.9617225357075445,0.4995513847055337,1075.2398
Information and communications technology professionals,1.7930142687390902,25.10219976234726,1.2869823487529417,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",3.476895024972975,48.67653034962165,2.2236065514228933,-1.3370254996261164,698.311
"Legal, social and cultural professionals",2.157479758779293,30.2047166229101,1.6984350522107432,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",2.6970991675675995,37.75938834594639,2.012393902753416,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,3.0704014826944777,42.985620757722685,2.16485986361719,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",5.520787113907013,16.56236134172104,5.578452629273136,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",1.793535256060524,25.109493584847336,1.3487642746424124,-1.0504398253684317,7006.2538
Numerical and material recording clerks,2.2497909317456286,31.4970730444388,1.583798057456308,0.9230494529805006,3252.2544000000003
Other clerical support workers,2.714016817434166,37.99623544407832,2.2109834072939325,0.8912907744771499,3023.8051
Personal care workers,3.059552761697734,42.83373866376827,1.5220462691946317,-0.3070549324017815,4594.922
Personal service workers,1.6797324060124885,23.51625368417484,1.8506678224046298,-0.7577211531984667,10568.3659
Production and specialised services managers,2.5495342647676353,35.69347970674689,1.6342967311616343,0.857573033629368,3472.7029
Protective services workers,3.8942609663348775,54.51965352868829,2.8193944951439436,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,3.6144485169280585,50.60227923699282,2.8089038691695842,-1.043410505531454,697.1471
Sales workers,2.0073320825451266,28.102649155631774,2.2881038245834824,0.033129014706379,8845.2163
Science and engineering associate professionals,1.766693526271144,24.733709367796017,1.3052197024368604,0.16136436653651046,14005.1178
Science and engineering professionals,2.042683239187042,28.597565348618588,1.616065385507329,1.045776739799056,8138.8805
Stationary plant and machine operators,2.8465399658648223,39.851559522107515,2.3702553724260746,-0.9626187364989638,792.9497
Teaching professionals,1.7442702374363646,24.419783324109105,1.9871413474212523,0.876818073832164,2831.0222
