group,avg_share_shift,cumulative_share_shift,period_share_shift_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,1.89996536734991,26.59951514289874,2.0529316702483182,-1.0130976303741126,6992.9135
Administrative and support service activities,2.4842458856116676,34.77944239856335,3.2525680515406084,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",4.317330493825298,60.44262691355417,4.514826538380125,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",3.269332703298602,45.77065784618043,1.7730292606323217,-0.14435774545454544,2216.1712
Construction,1.5000809427849984,21.001133198989976,1.3525718428453983,-1.1708856151941265,5540.3426
Education,1.6516050540198786,23.1224707562783,1.6470812363452632,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",4.166193472554572,58.326708615764005,2.555814712525961,-0.6259457333333335,3594.2578
Financial and insurance activities,1.5768409279060278,22.07577299068439,1.2885549422151952,2.058954964776237,8047.3062
Human health and social work activities,1.2360737236766082,17.305032131472515,1.147398299996952,0.5957591752384276,26565.0617
Information and communication,2.06591572704649,28.92282017865086,1.6896233821210112,1.0935346964314914,10443.3237
Manufacturing,1.0250145149867322,14.35020320981425,0.9214487600780542,-0.2821855571288053,23200.9859
Other service activities,2.7088008841613287,37.923212378258604,1.404256835433204,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",1.8894623133877972,26.45247238742916,1.6716101702469266,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,2.349485295321314,32.892794134498395,1.3761728291373028,-0.06395094999999994,2188.2827
Real estate activities,5.025766175768007,70.3607264607521,2.8225914500695057,0.9475425749999998,1178.2777
Transportation and storage,1.9851729102032944,27.792420742846122,1.3896447300501233,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,1.6306959491394122,22.82974328795177,1.6352602812224462,0.08708871094876754,16373.4958
