group,mean_exposure,demand_first,demand_last,cagr
Administrative and commercial managers,1.253742970186475,2533.8468,3958.6626,0.032382373733173875
"Agricultural, forestry and fishery labourers",-1.5142456066346772,194.4726,57.7969,-0.08301878808411556
Assemblers,-0.8593871556341274,337.0177,458.2471,0.022190710005286052
Building and related trades workers (excluding electricians),-1.2907143748320926,3800.9522,11140.1658,0.07983422713065291
Business and administration associate professionals,1.0478081639659278,6891.3192,5959.567,-0.010322404861067502
Business and administration professionals,1.293706162215531,6630.6708,5573.77,-0.012325857322717626
"Chief executives, senior officials and legislators",0.9610230216035534,798.4284,611.4951,-0.01887238333628516
Cleaners and helpers,-1.4997705789853673,1059.8645,1201.5325,0.009001468556248948
Customer services clerks,0.6303640354643951,1676.7336,1520.9937,-0.006938938180260812
Drivers and mobile plant operators,-0.6473029805426307,1202.5216,2996.7885,0.06739691529557046
Electrical and electronic trades workers,-0.7349496179052712,2619.8174,4479.786,0.039062986616178685
Food preparation assistants,-1.5850964494043671,579.2341,500.45860000000005,-0.010387235840765063
"Food processing, woodworking, garment and other craft and related trades workers",-0.6779829308451333,511.4393,1611.2505,0.08541990949943168
General and keyboard clerks,1.2213061570791275,3523.3253,7405.604,0.05449229363785624
Handicraft and printing workers,-0.32556086158275016,204.6988,689.8496,0.09065779735399615
Health associate professionals,-0.21068215870004492,656.5755,5099.0548,0.15767344614381873
Health professionals,0.2887832058201766,3564.8625,10661.8465,0.08139653691126525
"Hospitality, retail and other services managers",0.16352363563212194,633.8519,234.90890000000002,-0.06844612489722912
Information and communications technicians,0.4995513847055337,1020.3704,1075.2398,0.0037482936217414498
Information and communications technology professionals,1.1943636139008964,5050.7164,6948.7806,0.023049929373563094
"Labourers in mining, construction, manufacturing and transport",-1.3370254996261164,504.2087,698.311,0.023535130554430683
"Legal, social and cultural professionals",1.2079945932272302,1579.3709,3347.0092,0.05511076806185078
"Legal, social, cultural and related associate professionals",0.3598008232852465,1499.3671,3426.3948,0.060810515433796786
Market-oriented skilled agricultural workers,-1.1063309154106995,202.4537,860.9004,0.10892440701396655
"Metal, machinery and related trades workers",-1.0504398253684317,2819.5981,7006.2538,0.06717493989517886
Numerical and material recording clerks,0.9230494529805006,2267.9422,3252.2544000000003,0.026082600897569197
Other clerical support workers,0.8912907744771499,3055.4875,3023.8051,-0.0007442335763493402
Personal care workers,-0.3070549324017815,776.9539,4594.922,0.13536236026985216
Personal service workers,-0.7577211531984667,5484.6964,10568.3659,0.04796506072579865
Production and specialised services managers,0.857573033629368,1551.3067,3472.7029,0.059248492013760146
Protective services workers,-0.251524094174202,380.4016,2795.6284,0.15311887018142123
Refuse workers and other elementary workers,-1.043410505531454,88.3005,697.1471,0.15903682075026393
Sales workers,0.033129014706379,3897.8339,8845.2163,0.06027950429088147
Science and engineering associate professionals,0.16136436653651046,4445.2261,14005.1178,0.0854241836856886
Science and engineering professionals,1.045776739799056,3342.35,8138.8805,0.06563396244551978
Stationary plant and machine operators,-0.9626187364989638,868.9177999999999,792.9497,-0.006513603890487385
Teaching professionals,0.876818073832164,2377.3503,2831.0222,0.012553231396562614
