group,mean_exposure,demand_first,demand_last,cagr
Accommodation and food service activities,-1.0130976303741126,6732.2716,6992.9135,0.002716873959109467
Administrative and support service activities,-0.0792861738095238,128.1581,5159.4181,0.3020644329054454
"Agriculture, forestry, fishing and mining",-1.0345610360000002,278.5793,612.9595,0.05794494300823816
"Arts, entertainment and recreation",-0.14435774545454544,609.7904,2216.1712,0.0965544320320384
Construction,-1.1708856151941265,7120.3262,5540.3426,-0.017761598295243708
Education,1.1862854428571432,2976.558,5884.1553,0.04988250394198235
"Electricity, gas, water supply; sewerage, waste management",-0.6259457333333335,1328.1311,3594.2578,0.07370122447720262
Financial and insurance activities,2.058954964776237,7244.242,8047.3062,0.007537583885519172
Human health and social work activities,0.5957591752384276,6595.8598,26565.0617,0.10463067947208704
Information and communication,1.0935346964314914,3376.456,10443.3237,0.08399424032920311
Manufacturing,-0.2821855571288053,11701.4382,23200.9859,0.0501065592387715
Other service activities,0.6201269035464446,1803.5606,1928.3286,0.00478934637578865
"Professional, scientific and technical activities",0.8637364012154647,9470.7299,9656.5828,0.0013890966899587909
Public administration and defence; compulsory social security,-0.06395094999999994,2443.2721,2188.2827,-0.007842024233253198
Real estate activities,0.9475425749999998,594.5009,1178.2777,0.050076843806042604
Transportation and storage,-0.6217022593099913,5383.6601,4310.8577,-0.01574836080022879
Wholesale and retail trade; repair of motor vehicles,0.08708871094876754,9777.2591,16373.4958,0.03751549628226725
