group,mean_exposure,demand_first,demand_last,cagr,cumulative_yoy,2010-2014,2015-2019,2020-2024,pct_change_2010_2014_to_2020_2024,pct_change_2015_2019_to_2020_2024,avg_period_demand
Administrative and commercial managers,1.253742970186475,2533.8468,3958.6626,0.032382373733173875,1.0179314937317052,2613.4281600000004,3219.10678,3372.7871800000003,0.29056051037576625,0.047740075276409444,3068.4407066666668
"Agricultural, forestry and fishery labourers",-1.5142456066346772,194.4726,57.7969,-0.08301878808411556,27.880383648438855,484.00882,164.47214,68.994,-0.8574530108769506,-0.5805125415161498,239.15832
Assemblers,-0.8593871556341274,337.0177,458.2471,0.022190710005286052,2.9092666137831227,515.5320399999999,225.92307999999997,551.3707400000001,0.06951789068241054,1.4405241819472367,430.9419533333333
Building and related trades workers (excluding electricians),-1.2907143748320926,3800.9522,11140.1658,0.07983422713065291,1.7851682984163006,4559.53534,4665.848,6253.71794,0.3715691344986922,0.3403175457065897,5159.700426666667
Business and administration associate professionals,1.0478081639659278,6891.3192,5959.567,-0.010322404861067502,0.4105258403271391,7291.96736,6038.23894,6298.775100000001,-0.13620360747198945,0.0431477062416481,6542.9938
Business and administration professionals,1.293706162215531,6630.6708,5573.77,-0.012325857322717626,0.5841712494806751,5733.5134,7152.027,6005.90206,0.04750815791238927,-0.16025176359093718,6297.147486666666
"Chief executives, senior officials and legislators",0.9610230216035534,798.4284,611.4951,-0.01887238333628516,1.9731580870821934,756.763,767.6797,723.85482,-0.04348545053074737,-0.05708745457252551,749.4325066666667
Cleaners and helpers,-1.4997705789853673,1059.8645,1201.5325,0.009001468556248948,1.959921168599803,796.6604199999999,651.46136,736.5985800000001,-0.07539202211150375,0.1306865229888694,728.24012
Customer services clerks,0.6303640354643951,1676.7336,1520.9937,-0.006938938180260812,1.9267151492941432,1466.39058,1425.06666,1419.06178,-0.03227571197299972,-0.004213753762227435,1436.8396733333332
Drivers and mobile plant operators,-0.6473029805426307,1202.5216,2996.7885,0.06739691529557046,1.3927054248374087,1510.90182,1419.22538,2026.33168,0.34114053817209644,0.42777300107189453,1652.1529600000001
Electrical and electronic trades workers,-0.7349496179052712,2619.8174,4479.786,0.039062986616178685,1.322402360495802,3203.54528,3142.67206,3759.84504,0.17365128673942154,0.196384786009139,3368.6874599999996
Food preparation assistants,-1.5850964494043671,579.2341,500.45860000000005,-0.010387235840765063,18.159341536920774,274.69359999999995,211.00804,222.17142000000004,-0.19120278011573588,0.052904998311912976,235.95768666666666
"Food processing, woodworking, garment and other craft and related trades workers",-0.6779829308451333,511.4393,1611.2505,0.08541990949943168,1.7085767641621048,664.7061,1011.7463599999999,1205.3966,0.8134279194970531,0.19140196363048956,960.6163533333333
General and keyboard clerks,1.2213061570791275,3523.3253,7405.604,0.05449229363785624,1.2506477665379951,3657.8777199999995,4297.16704,4873.30868,0.3322776355684194,0.13407476010055208,4276.117813333333
Handicraft and printing workers,-0.32556086158275016,204.6988,689.8496,0.09065779735399615,4.414842196225059,525.2353999999999,521.3380199999999,713.96652,0.35932673235657786,0.36948868605439533,586.8466466666665
Health associate professionals,-0.21068215870004492,656.5755,5099.0548,0.15767344614381873,3.2640615876037367,1116.06634,1953.8729200000002,4023.1771200000003,2.6047831350240345,1.0590781922500874,2364.3721266666666
Health professionals,0.2887832058201766,3564.8625,10661.8465,0.08139653691126525,1.4981340119661932,4735.9838,5672.35238,8618.341680000001,0.8197574240013239,0.5193593596877353,6342.2259533333345
"Hospitality, retail and other services managers",0.16352363563212194,633.8519,234.90890000000002,-0.06844612489722912,8.087527917662662,363.15008,371.87487999999996,371.02716,0.021690976909601645,-0.0022795839288740627,368.6840399999999
Information and communications technicians,0.4995513847055337,1020.3704,1075.2398,0.0037482936217414498,0.5220290545508774,1210.3232,1635.41154,1253.5338800000002,0.03570176957691973,-0.23350554319801353,1366.4228733333337
Information and communications technology professionals,1.1943636139008964,5050.7164,6948.7806,0.023049929373563094,0.7337818362084553,6629.2421,7872.19288,8301.04122,0.2521855582857653,0.05447635068616341,7600.825399999999
"Labourers in mining, construction, manufacturing and transport",-1.3370254996261164,504.2087,698.311,0.023535130554430683,2.9076976216832042,627.8808799999999,687.35018,608.4523,-0.03094309863361322,-0.11478556679798935,641.2277866666667
"Legal, social and cultural professionals",1.2079945932272302,1579.3709,3347.0092,0.05511076806185078,1.9984399587962742,2057.1894399999996,2296.4236,2629.76374,0.278328426574074,0.1451562072432977,2327.7922599999997
"Legal, social, cultural and related associate professionals",0.3598008232852465,1499.3671,3426.3948,0.060810515433796786,1.458179945188315,1808.97088,1715.2318,2171.00826,0.2001344432918677,0.26572295359729226,1898.4036466666666
Market-oriented skilled agricultural workers,-1.1063309154106995,202.4537,860.9004,0.10892440701396655,3.6256046902580037,489.50267999999994,593.4212,780.51556,0.59450722516984,0.31528088312315106,621.14648
"Metal, machinery and related trades workers",-1.0504398253684317,2819.5981,7006.2538,0.06717493989517886,1.28112320876872,4270.51512,5318.49886,5620.44088,0.31610373036215833,0.056772038116033485,5069.818286666667
Numerical and material recording clerks,0.9230494529805006,2267.9422,3252.2544000000003,0.026082600897569197,0.8461351359718261,2682.4610399999997,2714.24614,3733.5027999999998,0.39181995351552246,0.37552108667639095,3043.4033266666665
Other clerical support workers,0.8912907744771499,3055.4875,3023.8051,-0.0007442335763493402,1.1274423075992623,2782.7845,2581.7142400000002,3617.03048,0.29978820853716837,0.40101891369666043,2993.8430733333335
Personal care workers,-0.3070549324017815,776.9539,4594.922,0.13536236026985216,2.833833221436934,1420.47094,2358.8255599999998,2797.96078,0.9697416548345579,0.18616689061144487,2192.4190933333334
Personal service workers,-0.7577211531984667,5484.6964,10568.3659,0.04796506072579865,1.455642699103042,5438.49802,6297.5037,6039.9911,0.11059911721729376,-0.04089121853155875,5925.33094
Production and specialised services managers,0.857573033629368,1551.3067,3472.7029,0.059248492013760146,2.3592330265031345,1678.27546,1549.4783400000001,2144.21852,0.2776320521304647,0.3838325226282284,1790.65744
Protective services workers,-0.251524094174202,380.4016,2795.6284,0.15311887018142123,3.916893687415002,531.06056,452.4304,1128.9710200000002,1.1258799937995776,1.4953473948700178,704.1539933333333
