group,mean_exposure,demand_first,demand_last,cagr,cumulative_yoy,2010-2014,2015-2019,2020-2024,pct_change_2010_2014_to_2020_2024,pct_change_2015_2019_to_2020_2024,avg_period_demand
Accommodation and food service activities,-1.0130976303741126,6732.2716,6992.9135,0.002716873959109467,3.096569691178298,4973.76244,5082.1138599999995,4668.372079999999,-0.06140027065707654,-0.08141135586442771,4908.082793333333
Administrative and support service activities,-0.0792861738095238,128.1581,5159.4181,0.3020644329054454,19.092172789432016,1238.21104,2010.3592400000002,2983.92378,1.4098668834353152,0.4842739151436435,2077.49802
"Agriculture, forestry, fishing and mining",-1.0345610360000002,278.5793,612.9595,0.05794494300823816,11.781859067088511,334.4615,242.20965999999999,544.58926,0.6282569443717736,1.24842089287438,373.7534733333334
"Arts, entertainment and recreation",-0.14435774545454544,609.7904,2216.1712,0.0965544320320384,3.225816826357677,432.24848000000003,497.06180000000006,854.0265999999999,0.9757769882730412,0.718149735103361,594.4456266666667
Construction,-1.1708856151941265,7120.3262,5540.3426,-0.017761598295243708,0.4695659220270808,9496.08214,8187.33246,6936.141500000001,-0.2695786117115453,-0.152820343636076,8206.5187
Education,1.1862854428571432,2976.558,5884.1553,0.04988250394198235,1.3483215417214485,4008.1033,4295.84566,4957.82686,0.2369508690057962,0.15409799429339843,4420.59194
"Electricity, gas, water supply; sewerage, waste management",-0.6259457333333335,1328.1311,3594.2578,0.07370122447720262,2.258948348816377,1458.3181,1491.93688,1889.77948,0.2958623224932886,0.26666181748922235,1613.34482
Financial and insurance activities,2.058954964776237,7244.242,8047.3062,0.007537583885519172,0.39326611623991303,6530.57754,6448.205400000001,6413.87702,-0.017869862088797817,-0.0053237106870077655,6464.219986666667
Human health and social work activities,0.5957591752384276,6595.8598,26565.0617,0.10463067947208704,1.773929686189385,9628.87792,13484.122039999998,18769.359220000002,0.9492779299875058,0.3919600522986666,13960.786393333334
Information and communication,1.0935346964314914,3376.456,10443.3237,0.08399424032920311,2.755621089981557,4266.5583400000005,5262.46744,8651.442420000001,1.0277332994349728,0.6439897288941707,6060.156066666667
Manufacturing,-0.2821855571288053,11701.4382,23200.9859,0.0501065592387715,1.0368109021215166,16194.433679999998,18968.00326,20190.0156,0.24672563418716598,0.0644249330437956,18450.81751333333
Other service activities,0.6201269035464446,1803.5606,1928.3286,0.00478934637578865,1.179340667715398,2236.16066,2284.51552,1733.03626,-0.2249947461288403,-0.24139878025429207,2084.5708133333333
"Professional, scientific and technical activities",0.8637364012154647,9470.7299,9656.5828,0.0013890966899587909,0.12992399975837887,10865.82768,12068.11584,9951.16194,-0.0841781930412503,-0.17541710139898692,10961.70182
Public administration and defence; compulsory social security,-0.06395094999999994,2443.2721,2188.2827,-0.007842024233253198,0.06556412462337458,3051.66402,3216.81752,2479.82498,-0.18738597573398674,-0.2291061073305769,2916.102173333333
Real estate activities,0.9475425749999998,594.5009,1178.2777,0.050076843806042604,2.1049188240164596,931.17184,1068.9925200000002,944.60118,0.014421978224770982,-0.11636315284975074,981.5885133333335
Transportation and storage,-0.6217022593099913,5383.6601,4310.8577,-0.01574836080022879,0.16585530258292758,4941.3544,3792.5419799999995,3727.10524,-0.24573205273436782,-0.017254058187115895,4153.667206666666
Wholesale and retail trade; repair of motor vehicles,0.08708871094876754,9777.2591,16373.4958,0.03751549628226725,0.7119690443750375,13756.91922,15757.733619999999,16718.27598,0.21526307690276592,0.06095688524527798,15410.976273333334
