group,mean_exposure,educ_yrsm_first,educ_yrsm_last,demand_last,educ_yrsm_cagr,cumulative_educ_yrsm_yoy
Accommodation and food service activities,-1.0130976303741126,1.0512746713994534,2.203431003854956,6992.9135,0.05427994873518571,1.0431552481121413
Administrative and support service activities,-0.0792861738095238,5.8760053601857765,2.3520435024884274,5159.4181,-0.06330679653458493,-0.5712454489562956
"Agriculture, forestry, fishing and mining",-1.0345610360000002,1.5230072729739792,2.6045732776064487,612.9595,0.039071250668629265,2.19459288432243
"Arts, entertainment and recreation",-0.14435774545454544,1.4313336434945516,2.8537897388071825,2216.1712,0.05052354933447911,2.423110978180468
Construction,-1.1708856151941265,3.298477259842862,3.8709561937686146,5540.3426,0.011497062513624146,0.25448451450706067
Education,1.1862854428571432,5.9773148885940435,4.610786253114903,5884.1553,-0.018370106834928124,-0.13317441860714407
"Electricity, gas, water supply; sewerage, waste management",-0.6259457333333335,5.878649837354158,3.950217109875366,3594.2578,-0.027997495764761515,-0.26459847524753277
Financial and insurance activities,2.058954964776237,4.592785391985453,4.257101490639143,8047.3062,-0.0054066278478616114,-0.011776827629714992
Human health and social work activities,0.5957591752384276,3.9919334275495792,4.9131019169680075,26565.0617,0.014941221642542635,0.26130361274797487
Information and communication,1.0935346964314914,5.8644676948255805,4.958936350224681,10443.3237,-0.011908556994209119,-0.11881899185696776
Manufacturing,-0.2821855571288053,4.72426849596442,4.076495790383991,23200.9859,-0.0104786402579643,-0.12021035419560655
Other service activities,0.6201269035464446,3.4114438966195637,4.776068715661239,1928.3286,0.024325593002145318,0.9428207587191617
"Professional, scientific and technical activities",0.8637364012154647,4.004831680190026,5.224522604887879,9656.5828,0.01917159327323903,0.3333078753763812
Public administration and defence; compulsory social security,-0.06395094999999994,5.393226311857211,6.494113197512928,2188.2827,0.013356434024283548,0.4191297391364227
Real estate activities,0.9475425749999998,3.342439330201182,2.0929749582802084,1178.2777,-0.03288391369773325,0.6787016381280297
Transportation and storage,-0.6217022593099913,4.7503337601990445,4.617897955635331,4310.8577,-0.0020176238041310635,0.4223845633851909
Wholesale and retail trade; repair of motor vehicles,0.08708871094876754,2.5464001689123585,3.2272447255149315,16373.4958,0.017068900073571536,0.30150521237493944
