group,mean_exposure,ict_count_first,ict_count_last,demand_last,ict_count_cagr,cumulative_ict_count_yoy
Accommodation and food service activities,-1.0130976303741126,0.3013880931363494,0.5495351544102469,6992.9135,0.043839021228652575,3.284728122087475
Administrative and support service activities,-0.0792861738095238,0.5099076843367685,1.398730818112996,5159.4181,0.07473908199193291,3.912694124586074
"Agriculture, forestry, fishing and mining",-1.0345610360000002,0.6257941634572275,4.77274958622878,612.9595,0.1561763499224751,5.072286137124809
"Arts, entertainment and recreation",-0.14435774545454544,0.2724155709896384,1.406992429104755,2216.1712,0.12443109014231535,16.78973071825457
Construction,-1.1708856151941265,0.5042204948419357,2.5352120823719457,5540.3426,0.12227569425004847,2.6615254039399026
Education,1.1862854428571432,1.6654570480400517,1.0994017951905517,5884.1553,-0.029230933906977508,1.41644647938145
"Electricity, gas, water supply; sewerage, waste management",-0.6259457333333335,5.358163889091973,1.692519635069026,3594.2578,-0.07901773784552912,1.1200491408639681
Financial and insurance activities,2.058954964776237,2.2447252452361472,1.654723601793604,8047.3062,-0.02154656511730413,0.5163204524911482
Human health and social work activities,0.5957591752384276,0.6362232714527983,1.1041786136713547,26565.0617,0.04016473863668235,0.9119676851826803
Information and communication,1.0935346964314914,11.816475647839036,10.53642819670523,10443.3237,-0.008156283686430843,0.06076929206683601
Manufacturing,-0.2821855571288053,2.7745874690856374,2.061338186494911,23200.9859,-0.02100110410450462,-0.0523331481441085
Other service activities,0.6201269035464446,1.435656888934034,1.5019765822069953,1928.3286,0.003230883471538437,3.989764559755764
"Professional, scientific and technical activities",0.8637364012154647,1.4757503748470326,3.458613434143598,9656.5828,0.06272439884582459,1.5292241862053468
Public administration and defence; compulsory social security,-0.06395094999999994,2.0674414855390033,2.1658033032020954,2188.2827,0.0033254806037283924,1.302123085996398
Real estate activities,0.9475425749999998,2.2294729915463543,1.1780382502359164,1178.2777,-0.04454282328535053,1.0820189223201118
Transportation and storage,-0.6217022593099913,1.9821038664755228,1.7940457649529933,4310.8577,-0.007095107608067419,1.6627310082611402
Wholesale and retail trade; repair of motor vehicles,0.08708871094876754,1.4867335468280676,1.768642668232156,16373.4958,0.012479435994582566,1.320884184854048
