indu_label,demand_total_tru2,mean_ind_exp,mean_occ_exp,share_high_occ_p80,coverage
Accommodation and food service activities,73621.2419,-1.0130976303741126,-0.5727083739174998,0.015408788052851893,0.9958105134871408
Activities of extraterritorial organisations,61653.504799999995,,-0.08695538910453375,0.16263575673777816,0.9191118880235986
Activities of households as employers,21911.0106,,0.47717713641962606,0.23698588136234766,0.9044309895957058
Administrative and support service activities,31162.4703,-0.0792861738095238,-0.042477845974326425,0.10371381083472996,0.9361964670689154
"Agriculture, forestry, fishing and mining",5606.3021,-1.0345610360000002,-0.49544810272596507,0.1658130934424723,0.9111275327100193
"Arts, entertainment and recreation",8916.6844,-0.14435774545454544,0.3598264308762137,0.14037270944644373,0.8956256991668337
Construction,123097.7805,-1.1708856151941265,-0.4621699501815127,0.08397184469617253,0.9465290416020132
Education,66308.87909999999,1.1862854428571432,0.7795623271785684,0.18463868624637217,0.9260331381472562
"Electricity, gas, water supply; sewerage, waste management",24200.1723,-0.6259457333333335,0.18964565731605326,0.22679349493347525,0.8821622976626493
Financial and insurance activities,96963.2998,2.058954964776237,0.9427483879045038,0.5609348762663035,0.9535451886508507
Human health and social work activities,209411.79590000003,0.5957591752384276,0.11285100700621066,0.06849160442358229,0.9423299883939346
Information and communication,90902.34100000001,1.0935346964314914,0.9491144322541863,0.45411208217334514,0.8720031159593569
Manufacturing,276762.26269999996,-0.2821855571288053,0.20477289536032925,0.15948051416475215,0.8484967809883426
Other service activities,31268.5622,0.6201269035464446,0.3300424183683998,0.19599828804157207,0.9454501684762469
"Professional, scientific and technical activities",164425.52730000002,0.8637364012154647,0.8072108499573719,0.3340758575241162,0.915190126928667
Public administration and defence; compulsory social security,43741.532600000006,-0.06395094999999994,0.6425465443517289,0.2964607383630284,0.8820990465249495
Real estate activities,14723.8277,0.9475425749999998,0.9208699609920655,0.17818802465425118,0.972641292182467
Transportation and storage,62305.00810000001,-0.6217022593099913,0.31442963464076856,0.28047558065112327,0.9237706446907595
Wholesale and retail trade; repair of motor vehicles,231164.6441,0.08708871094876754,0.285603828953366,0.1479748032685854,0.946195412155591
