group,mean_exposure,share_first,share_last,demand_last,mgmt_share_cagr,cumulative_mgmt_share_yoy
Administrative and commercial managers,1.253742970186475,0.6227931775512238,0.5043078185041585,3958.6626,-0.014960368673493707,-0.1203662298280912
Assemblers,-0.8593871556341274,0.02570631509187372,0.033549366706303214,458.2471,0.01920212723914183,4.4539787725401885
Building and related trades workers (excluding electricians),-1.2907143748320926,0.04897216775358458,0.01677233565051608,11140.1658,-0.07368157782281537,2.5915802545270434
Business and administration associate professionals,1.0478081639659278,0.17602286085321167,0.14509532320049426,5959.567,-0.013706833322980394,2.0556286217105275
Business and administration professionals,1.293706162215531,0.12279015571094255,0.14100660773587714,5573.77,0.009929682888297542,1.146580154650548
"Chief executives, senior officials and legislators",0.9610230216035534,0.8368700311762457,0.9532885872675022,611.4951,0.009346904764788722,1.4816583071223368
Electrical and electronic trades workers,-0.7349496179052712,0.0615347080032333,0.04401379887342833,4479.786,-0.023651399927802297,6.70254356273681
General and keyboard clerks,1.2213061570791275,0.030512226617281122,0.0038194048723102125,7405.604,-0.13794044246311454,16.57133218906154
Handicraft and printing workers,-0.32556086158275016,0.1199103267825703,0.0026195564946330328,689.8496,-0.23900175379569166,4.424073854049602
Health associate professionals,-0.21068215870004492,0.033185368628588785,0.015750428883407958,5099.0548,-0.0518395445360077,2.915911658961801
Health professionals,0.2887832058201766,0.2202963508410212,0.16716229219769765,10661.8465,-0.01952182794567281,0.20327763541439514
"Hospitality, retail and other services managers",0.16352363563212194,0.3866614582996438,0.7690019407523512,234.90890000000002,0.05033617901371934,11.578210382763672
Information and communications technicians,0.4995513847055337,0.15654981759564957,0.06530124721945746,1075.2398,-0.06054420276271821,3.4347802733090322
Information and communications technology professionals,1.1943636139008964,0.21074875635464305,0.06562008879658685,6948.7806,-0.07996334975218056,0.19603677768403283
"Legal, social and cultural professionals",1.2079945932272302,0.1927922060612868,0.027509664449084873,3347.0092,-0.12983882603952368,4.89324107884038
"Legal, social, cultural and related associate professionals",0.3598008232852465,0.21878344536171296,0.02028636629964533,3426.3948,-0.1562226886925313,1.4008946791995385
Market-oriented skilled agricultural workers,-1.1063309154106995,0.305205424253656,0.10678656903864836,860.9004,-0.07226664666130989,26.127698069757027
"Metal, machinery and related trades workers",-1.0504398253684317,0.0651520512799324,0.03459760478559883,7006.2538,-0.04420321114250125,5.427455513195245
Numerical and material recording clerks,0.9230494529805006,0.13694418667283498,0.10769781724332511,3252.2544000000003,-0.01701389570434564,12.75120248005772
Other clerical support workers,0.8912907744771499,0.025991662541574787,0.008867469665951684,3023.8051,-0.07393727510469572,6.678908072892297
Personal care workers,-0.3070549324017815,0.012679130640826954,0.008377443621458647,4594.922,-0.02916722125450577,15.511625321464113
Personal service workers,-0.7577211531984667,0.1260348157152359,0.044604786062526464,10568.3659,-0.0715085186330554,-0.024235651127022972
Production and specialised services managers,0.857573033629368,0.8232080090932373,0.6037892559135997,3472.7029,-0.021898364132825643,-0.13385319146981423
Protective services workers,-0.251524094174202,0.020561953472330297,0.006686510982647049,2795.6284,-0.07710453146285912,1.5406950338843894
Sales workers,0.033129014706379,0.04808346236331949,0.03754825079857007,8845.2163,-0.017509994288352315,17.265680668896227
Science and engineering associate professionals,0.16136436653651046,0.4285923723879872,0.3333245079880727,14005.1178,-0.017796156580776823,0.377751995145834
Science and engineering professionals,1.045776739799056,0.38121956108725896,0.12931663021714104,8138.8805,-0.07431590850896974,0.7614430556537397
Teaching professionals,0.876818073832164,0.12000303255658222,0.06339183776093314,2831.0222,-0.04456106052729869,3.476025799850824
