group,mean_exposure,share_first,share_last,demand_last,mgmt_share_cagr,cumulative_mgmt_share_yoy
Accommodation and food service activities,-1.0130976303741126,0.19749883354572095,0.08328008061303777,6992.9135,-0.059816523228753526,0.8577041328465556
Administrative and support service activities,-0.0792861738095238,0.23163420806020066,0.0767616022434778,5159.4181,-0.07585808850173359,1.1167875829984766
"Agriculture, forestry, fishing and mining",-1.0345610360000002,0.20275770669249293,0.03665609228668452,612.9595,-0.11500538483552991,10.696164647439387
"Arts, entertainment and recreation",-0.14435774545454544,0.12271560851072762,0.05480149728504729,2216.1712,-0.055955796592565665,7.259411759745252
Construction,-1.1708856151941265,0.16868208114529568,0.17507947974192067,5540.3426,0.002662414671989799,0.4705953960438324
Education,1.1862854428571432,0.14013575371441306,0.0681554241098973,5884.1553,-0.05018419765945392,0.3471950331754594
"Electricity, gas, water supply; sewerage, waste management",-0.6259457333333335,0.525354989428378,0.057063602950239135,3594.2578,-0.14663236776661082,1.0355727013873324
Financial and insurance activities,2.058954964776237,0.2023306372150461,0.1775047779342608,8047.3062,-0.009306824529088487,0.6440270170227527
Human health and social work activities,0.5957591752384276,0.1751700058876327,0.0982562483564644,26565.0617,-0.040457275931194636,-0.0015519714336825752
Information and communication,1.0935346964314914,0.23016535681199457,0.1064904940177235,10443.3237,-0.05356503269301793,4.203879325549769
Manufacturing,-0.2821855571288053,0.25181295402056053,0.15343547103315125,23200.9859,-0.034767405902535686,0.03718917081438289
Other service activities,0.6201269035464446,0.12406032700489256,0.25088981203722227,1928.3286,0.05158997208370675,4.404737479780458
"Professional, scientific and technical activities",0.8637364012154647,0.1495276092711714,0.12856887635240904,9656.5828,-0.010728908093697753,1.440675283988909
Public administration and defence; compulsory social security,-0.06395094999999994,0.2585563433561084,0.04094064263269092,2188.2827,-0.12334536619855963,0.19563093549008848
Real estate activities,0.9475425749999998,0.30062326230288294,0.23312271801460727,1178.2777,-0.01799980851710581,21.301790223259296
Transportation and storage,-0.6217022593099913,0.14743765119941357,0.037885685718644806,4310.8577,-0.09249792880101881,-0.34016622719256273
Wholesale and retail trade; repair of motor vehicles,0.08708871094876754,0.135938362567969,0.0696228535387049,16373.4958,-0.04666934988744109,-0.1715100774720434
