group,mean_exposure,share_first,share_last,demand_last,resp_share_cagr,cumulative_resp_share_yoy
Administrative and commercial managers,1.253742970186475,0.5330096910357801,0.4435641724050946,3958.6626,-0.013035514843145357,1.044347052259205
Building and related trades workers (excluding electricians),-1.2907143748320926,0.026528467946258554,0.0013461469307754826,11140.1658,-0.1917845207125537,43.02504659955671
Business and administration associate professionals,1.0478081639659278,0.1252485951956112,0.08566243151557823,5959.567,-0.026769886879581595,1.3974101771038154
Business and administration professionals,1.293706162215531,0.14302192471989408,0.09765072832212307,5573.77,-0.026889076354433827,0.8712177315340208
"Chief executives, senior officials and legislators",0.9610230216035534,0.8352341925713063,0.8274309965852548,611.4951,-0.000670235271205466,0.9303952520521916
Customer services clerks,0.6303640354643951,0.012781040470591153,0.007753286552074476,1520.9937,-0.035073443899415135,5.497858016887433
Electrical and electronic trades workers,-0.7349496179052712,0.04501767349006384,0.011872576056088394,4479.786,-0.0908104772581324,6.220046152035927
Health professionals,0.2887832058201766,0.12049864475838827,0.08856306456859983,10661.8465,-0.021754427502782003,1.4517382958497862
"Hospitality, retail and other services managers",0.16352363563212194,0.342772972677056,0.7086823870870792,234.90890000000002,0.053250782867663826,10.233366931689876
Information and communications technicians,0.4995513847055337,0.049236042127447054,0.0174545250278124,1075.2398,-0.07139642769380039,3.4328468830426555
Information and communications technology professionals,1.1943636139008964,0.11381961576777504,0.012946688804651567,6948.7806,-0.1438157061656259,5.670178577012644
"Legal, social and cultural professionals",1.2079945932272302,0.15393147993292772,0.04894868529193168,3347.0092,-0.07857898438640176,9.461612524959019
"Legal, social, cultural and related associate professionals",0.3598008232852465,0.23751181415145095,0.010467532813206462,3426.3948,-0.19988166518935235,2.2769553531970814
"Metal, machinery and related trades workers",-1.0504398253684317,0.02476264259080044,0.01572368103479209,7006.2538,-0.031920037433140314,-0.39987137449877985
Numerical and material recording clerks,0.9230494529805006,0.06731944050425977,0.0736184414109794,3252.2544000000003,0.006409489045443362,27.594256040958065
Personal service workers,-0.7577211531984667,0.019979945414096006,0.00654291312907703,10568.3659,-0.07664272457033716,3.01985813444954
Production and specialised services managers,0.857573033629368,0.6006255887375462,0.2926176322195601,3472.7029,-0.05006777948790342,0.8744487834502421
Protective services workers,-0.251524094174202,0.020561953472330297,0.001995723036724051,2795.6284,-0.15346402035451,5.730825139602335
Sales workers,0.033129014706379,0.0293004900438972,0.010361532933909146,8845.2163,-0.071560713545199,64.82514384189173
Science and engineering associate professionals,0.16136436653651046,0.247561828182373,0.08291099129491078,14005.1178,-0.07516061512781247,-0.13349137283126578
Science and engineering professionals,1.045776739799056,0.2548522446781456,0.12440589341494816,8138.8805,-0.04993405883997626,1.5613989787697136
Teaching professionals,0.876818073832164,0.09248156336692012,0.02354750167624966,2831.0222,-0.09309134174543587,7.157165987694258
