group,mean_exposure,share_first,share_last,demand_last,resp_share_cagr,cumulative_resp_share_yoy
Accommodation and food service activities,-1.0130976303741126,0.11948651891423549,0.031583030449325596,6992.9135,-0.09066497177847155,3.68573015787481
Administrative and support service activities,-0.0792861738095238,0.4636648015224945,0.016103114419046594,5159.4181,-0.2133805212621629,3.5365843107465014
"Arts, entertainment and recreation",-0.14435774545454544,0.11261033299310715,0.03537998327927012,2216.1712,-0.07937186841712796,66.56030621238789
Construction,-1.1708856151941265,0.07612804975810326,0.10704735118727134,5540.3426,0.024645550921382764,4.773134999631893
Education,1.1862854428571432,0.12975336559804523,0.0639693347318688,5884.1553,-0.049261801902751645,1.7506620602485485
"Electricity, gas, water supply; sewerage, waste management",-0.6259457333333335,0.33232148543167156,0.018887014726656503,3594.2578,-0.18521465874582155,5.995009721482027
Financial and insurance activities,2.058954964776237,0.1536232224158166,0.05083064939171819,8047.3062,-0.07596030588865632,2.2829588771549076
Human health and social work activities,0.5957591752384276,0.10310774040406377,0.052161576571832326,26565.0617,-0.047507886278347344,0.3329107070252938
Information and communication,1.0935346964314914,0.143204916634483,0.0862746215555877,10443.3237,-0.03554855808594981,5.187268313810323
Manufacturing,-0.2821855571288053,0.18158529247616026,0.09932766693332631,23200.9859,-0.04217764519164158,0.9113660255497698
Other service activities,0.6201269035464446,0.07687148060656947,0.21563176524996827,1928.3286,0.0764559173435535,7.2120693680017744
"Professional, scientific and technical activities",0.8637364012154647,0.12319018832962389,0.08083646318447144,9656.5828,-0.029644662883036466,1.5286049163572502
Public administration and defence; compulsory social security,-0.06395094999999994,0.14708087568306452,0.04502818580067374,2188.2827,-0.08107389595964065,0.42534548192175337
Real estate activities,0.9475425749999998,0.14725982752927708,0.03775366367368236,1178.2777,-0.092645969940375,24.657980943582277
Transportation and storage,-0.6217022593099913,0.16961787762195463,0.015929173444996808,4310.8577,-0.15545465481163867,33.7226230916009
Wholesale and retail trade; repair of motor vehicles,0.08708871094876754,0.09726003878077089,0.027581434381288326,16373.4958,-0.0860848295790626,0.2896247275134889
