group,mean_exposure,soski_count_first,soski_count_last,demand_last,soski_count_cagr,cumulative_soski_count_yoy
Administrative and commercial managers,1.253742970186475,3.756287396696596,2.806714318113395,3958.6626,-0.020600321923419096,0.2737537534286806
"Agricultural, forestry and fishery labourers",-1.5142456066346772,0.5003275525703877,4.605513444492697,57.7969,0.17181440124051717,20.604345128629983
Assemblers,-0.8593871556341274,1.502872994504443,2.2791967477808375,458.2471,0.030192866428669918,2.4101864784975677
Building and related trades workers (excluding electricians),-1.2907143748320926,2.3411227323511197,2.8081823701403077,11140.1658,0.013078124306263428,0.9450635136551713
Business and administration associate professionals,1.0478081639659278,4.262345894527712,5.655304370267169,5959.567,0.02040352338572382,0.46191089401416086
Business and administration professionals,1.293706162215531,4.072793630472501,3.7196803958541524,5573.77,-0.0064570211347664275,0.34847955828571553
"Chief executives, senior officials and legislators",0.9610230216035534,4.623342431206104,2.9449923637981725,611.4951,-0.03170174129273473,1.067718690555344
Cleaners and helpers,-1.4997705789853673,4.264569574695633,2.7288930594886116,1201.5325,-0.03138585246006065,1.6450402457585382
Customer services clerks,0.6303640354643951,2.403693824707753,7.503233313852648,1520.9937,0.08470612651660003,2.0721487900209743
Drivers and mobile plant operators,-0.6473029805426307,1.844420590865062,3.726797837084599,2996.7885,0.05152524867314323,2.390236782754311
Electrical and electronic trades workers,-0.7349496179052712,3.47691022282698,3.1125445054741454,4479.786,-0.007876209666362932,0.19366503616988284
Food preparation assistants,-1.5850964494043671,1.6841682836007064,1.1872886188787644,500.45860000000005,-0.02466219411193904,16.735440550073577
"Food processing, woodworking, garment and other craft and related trades workers",-0.6779829308451333,1.6720996998079733,3.5175262319546214,1611.2505,0.05455602047971797,2.803508405005993
General and keyboard clerks,1.2213061570791275,3.226273458201546,3.696484257057223,7405.604,0.009765547932960805,0.4206712949173277
Handicraft and printing workers,-0.32556086158275016,3.163415711279206,1.1901457940977278,689.8496,-0.06744476538671784,0.5552409820227099
Health associate professionals,-0.21068215870004492,3.081994378407358,4.862615008569824,5099.0548,0.03310764317502923,1.1177476168911604
Health professionals,0.2887832058201766,3.582741606443446,4.196179085864723,10661.8465,0.011352964873746929,0.265105632304933
"Hospitality, retail and other services managers",0.16352363563212194,7.471696937407619,5.304167275058544,234.90890000000002,-0.024176476525001767,2.0611710894217916
Information and communications technicians,0.4995513847055337,4.626083332091953,4.9193236708685815,1075.2398,0.004399684479595711,0.5425690027679844
Information and communications technology professionals,1.1943636139008964,3.199031685881234,5.674061402946008,6948.7806,0.041781931153721974,0.9197603801661337
"Labourers in mining, construction, manufacturing and transport",-1.3370254996261164,3.1677999606115486,2.411244703291227,698.311,-0.01930369635415574,3.4238175195477525
"Legal, social and cultural professionals",1.2079945932272302,2.922777543894218,4.8673325427369605,3347.0092,0.03710108777930854,1.7018905319007969
"Legal, social, cultural and related associate professionals",0.3598008232852465,2.6800412654112526,4.4962711243899856,3426.3948,0.03764975159384942,1.618785090425572
Market-oriented skilled agricultural workers,-1.1063309154106995,3.6840398570142208,3.8130977753059474,860.9004,0.002462454435802952,1.927608716342999
"Metal, machinery and related trades workers",-1.0504398253684317,2.000372606294493,2.6948713162517746,7006.2538,0.02151511057293276,0.9616336327034856
Numerical and material recording clerks,0.9230494529805006,5.3111607518039925,5.150515039659873,3252.2544000000003,-0.0021914303965671067,0.21458768165168018
Other clerical support workers,0.8912907744771499,5.7234001120934055,7.419251194463559,3023.8051,0.018709664330647247,0.6019527918197138
Personal care workers,-0.3070549324017815,2.6724857163340068,4.123815899377617,4594.922,0.031468551168339465,1.2626577363557345
Personal service workers,-0.7577211531984667,2.5374147600950163,4.868855307138826,10568.3659,0.047651441173213405,0.8153970404943592
Production and specialised services managers,0.857573033629368,3.56794107831804,4.786359581754028,3472.7029,0.021206107422633957,0.9433234430873584
Protective services workers,-0.251524094174202,3.8770883192920325,6.357495474005057,2795.6284,0.035956344910649696,1.7506023185322463
Refuse workers and other elementary workers,-1.043410505531454,1.5412268333701395,0.023412562427642607,697.1471,-0.2584968033575653,7.590704498067455
Sales workers,0.033129014706379,4.243095299674006,5.4224430441571005,8845.2163,0.017672444300300683,0.4103879764243912
Science and engineering associate professionals,0.16136436653651046,3.163539960318329,3.71184195965849,14005.1178,0.01148232134033389,0.37140216914916246
Science and engineering professionals,1.045776739799056,3.083434739030922,2.9111005500080753,8138.8805,-0.0040996409396952815,0.34421163960122125
Stationary plant and machine operators,-0.9626187364989638,2.1053748697517762,5.274078418845483,792.9497,0.06779267956385993,1.9434987075703436
Teaching professionals,0.876818073832164,1.7061682075207847,4.373575240773456,2831.0222,0.06954990648938986,2.063000749277682
