group,mean_exposure,soski_count_first,soski_count_last,demand_last,soski_count_cagr,cumulative_soski_count_yoy
Accommodation and food service activities,-1.0130976303741126,2.5101071382800417,5.796797128979216,6992.9135,0.06160752620751553,1.2425266297226383
Administrative and support service activities,-0.0792861738095238,3.3921960453533564,6.13751612803002,5159.4181,0.04326273081269427,1.170879435289463
"Agriculture, forestry, fishing and mining",-1.0345610360000002,1.7034575074314569,5.09921699557638,612.9595,0.08146457793059825,5.5103123191565615
"Arts, entertainment and recreation",-0.14435774545454544,1.8672914496522082,1.4495261467164628,2216.1712,-0.017926814550667802,1.1312886239205273
Construction,-1.1708856151941265,2.119302497686131,4.630979968639484,5540.3426,0.05742255084410797,1.0534688307914148
Education,1.1862854428571432,2.673957638319159,5.0837758310016055,5884.1553,0.046961828301679054,1.5157593336639303
"Electricity, gas, water supply; sewerage, waste management",-0.6259457333333335,4.573137395848949,1.720247668378156,3594.2578,-0.06745506780628041,-0.5997849692440554
Financial and insurance activities,2.058954964776237,4.295482909046937,3.9476841579608344,8047.3062,-0.006012911541022015,0.026287076050847458
Human health and social work activities,0.5957591752384276,3.9778575038844823,3.950371822400096,26565.0617,-0.0004951382364075663,0.10770016279227379
Information and communication,1.0935346964314914,4.313771362635852,4.751777089893326,10443.3237,0.00693149269090676,0.21438894453517265
Manufacturing,-0.2821855571288053,3.846490391240967,3.4874571989632566,23200.9859,-0.006974725159319961,-0.05168465585927062
Other service activities,0.6201269035464446,2.029512565311085,4.567216604058043,1928.3286,0.05964750253388318,2.1617778049611416
"Professional, scientific and technical activities",0.8637364012154647,4.040801026328499,3.5215094308516672,9656.5828,-0.009777121031575131,0.4420101467166415
Public administration and defence; compulsory social security,-0.06395094999999994,4.417807742330459,3.1265782067371823,2188.2827,-0.024390789478812902,0.09220564114175178
Real estate activities,0.9475425749999998,5.67102926168825,2.7708323767818057,1178.2777,-0.04987219844812396,0.6247735052364346
Transportation and storage,-0.6217022593099913,2.817448672140353,5.039924235958891,4310.8577,0.042414805504186415,0.7982822606483074
Wholesale and retail trade; repair of motor vehicles,0.08708871094876754,3.550815892768966,4.358854106158564,16373.4958,0.014752893693023461,0.4325984300683965
