group,avg_topk_turnover,cumulative_topk_turnover,period_turnover_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,0.4333333333333333,6.066666666666666,0.19999999999999996,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",0.6296296296296297,5.666666666666667,0.6666666666666667,-1.5142456066346772,57.7969
Assemblers,0.6491169544740973,9.087637362637363,0.6,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),0.6,8.4,0.5333333333333333,-1.2907143748320926,11140.1658
Business and administration associate professionals,0.3380952380952381,4.733333333333333,0.2666666666666667,1.0478081639659278,5959.567
Business and administration professionals,0.38571428571428573,5.4,0.33333333333333337,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",0.6238095238095239,8.733333333333334,0.4666666666666667,0.9610230216035534,611.4951
Cleaners and helpers,0.32222222222222224,4.511111111111111,0.6,-1.4997705789853673,1201.5325
Customer services clerks,0.5238095238095238,7.333333333333333,0.4666666666666667,0.6303640354643951,1520.9937
Drivers and mobile plant operators,0.61990231990232,8.67863247863248,0.5333333333333333,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,0.5333333333333333,7.466666666666667,0.4,-0.7349496179052712,4479.786
Food preparation assistants,0.75,10.5,0.6,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",0.7074481074481075,9.904273504273505,0.5333333333333333,-0.6779829308451333,1611.2505
General and keyboard clerks,0.37142857142857144,5.2,0.19999999999999996,1.2213061570791275,7405.604
Handicraft and printing workers,0.681202725845583,9.536838161838162,0.6,-0.32556086158275016,689.8496
Health associate professionals,0.5190476190476191,7.2666666666666675,0.33333333333333337,-0.21068215870004492,5099.0548
Health professionals,0.2761904761904762,3.866666666666667,0.33333333333333337,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",0.6022263450834879,8.431168831168831,0.4,0.16352363563212194,234.90890000000002
Information and communications technicians,0.38571428571428573,5.4,0.2666666666666667,0.4995513847055337,1075.2398
Information and communications technology professionals,0.20476190476190476,2.8666666666666667,0.1333333333333333,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",0.7334498834498835,10.26829836829837,0.7333333333333334,-1.3370254996261164,698.311
"Legal, social and cultural professionals",0.6476190476190476,9.066666666666666,0.6,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",0.661904761904762,9.266666666666667,0.6666666666666667,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,0.621237889095032,8.697330447330447,0.6,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",1.0,3.0,,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",0.45238095238095244,6.333333333333334,0.4,-1.0504398253684317,7006.2538
Numerical and material recording clerks,0.36190476190476195,5.066666666666667,0.2666666666666667,0.9230494529805006,3252.2544000000003
Other clerical support workers,0.40476190476190477,5.666666666666667,0.2666666666666667,0.8912907744771499,3023.8051
Personal care workers,0.4997835497835498,6.996969696969697,0.4666666666666667,-0.3070549324017815,4594.922
Personal service workers,0.4666666666666667,6.533333333333333,0.2666666666666667,-0.7577211531984667,10568.3659
Production and specialised services managers,0.5571428571428572,7.8,0.4,0.857573033629368,3472.7029
Protective services workers,0.6123103087388803,8.572344322344323,0.6,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,0.7583333333333333,9.1,0.8,-1.043410505531454,697.1471
Sales workers,0.4857142857142857,6.8,0.5333333333333333,0.033129014706379,8845.2163
Science and engineering associate professionals,0.35714285714285715,5.0,0.19999999999999996,0.16136436653651046,14005.1178
Science and engineering professionals,0.46190476190476193,6.466666666666667,0.4,1.045776739799056,8138.8805
Stationary plant and machine operators,0.5952380952380952,8.333333333333334,0.4666666666666667,-0.9626187364989638,792.9497
Teaching professionals,0.619047619047619,8.666666666666666,0.5333333333333333,0.876818073832164,2831.0222
