group,avg_topk_turnover,cumulative_topk_turnover,period_turnover_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,0.43809523809523815,6.133333333333334,0.2666666666666667,-1.0130976303741126,6992.9135
Administrative and support service activities,0.6142857142857142,8.6,0.4666666666666667,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",0.8285714285714285,11.6,0.8,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",0.7972069597069597,11.160897435897436,0.7333333333333334,-0.14435774545454544,2216.1712
Construction,0.5190476190476191,7.266666666666667,0.5333333333333333,-1.1708856151941265,5540.3426
Education,0.5380952380952382,7.533333333333334,0.4,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",0.5190476190476191,7.266666666666667,0.2666666666666667,-0.6259457333333335,3594.2578
Financial and insurance activities,0.3666666666666667,5.133333333333334,0.33333333333333337,2.058954964776237,8047.3062
Human health and social work activities,0.2571428571428572,3.6000000000000005,0.19999999999999996,0.5957591752384276,26565.0617
Information and communication,0.3,4.2,0.19999999999999996,1.0935346964314914,10443.3237
Manufacturing,0.29523809523809524,4.133333333333334,0.2666666666666667,-0.2821855571288053,23200.9859
Other service activities,0.6333333333333334,8.866666666666667,0.6666666666666667,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",0.36190476190476195,5.066666666666667,0.33333333333333337,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,0.46190476190476193,6.466666666666667,0.4,-0.06395094999999994,2188.2827
Real estate activities,0.4857142857142857,6.8,0.33333333333333337,0.9475425749999998,1178.2777
Transportation and storage,0.4904761904761905,6.866666666666667,0.4666666666666667,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,0.35714285714285715,5.0,0.2666666666666667,0.08708871094876754,16373.4958
