group,avg_topk_turnover,cumulative_topk_turnover,period_turnover_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,0.2714285714285714,3.8,0.33333333333333337,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",0.5,4.0,0.0,-1.5142456066346772,57.7969
Assemblers,0.2875850340136054,4.026190476190476,0.09999999999999998,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),0.21168315811172952,2.9635642135642133,0.2142857142857143,-1.2907143748320926,11140.1658
Business and administration associate professionals,0.29523809523809524,4.133333333333334,0.19999999999999996,1.0478081639659278,5959.567
Business and administration professionals,0.29523809523809524,4.133333333333334,0.19999999999999996,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",0.33625937554508983,4.707631257631258,0.33333333333333337,0.9610230216035534,611.4951
Cleaners and helpers,0.1217948717948718,1.5833333333333335,0.19999999999999996,-1.4997705789853673,1201.5325
Customer services clerks,0.3212121212121212,4.496969696969697,0.33333333333333337,0.6303640354643951,1520.9937
Drivers and mobile plant operators,0.19938930117501547,2.7914502164502166,0.19999999999999996,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,0.24761904761904763,3.466666666666667,0.1333333333333333,-0.7349496179052712,4479.786
Food preparation assistants,0.125,1.5,0.0,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",0.29682282003710575,4.15551948051948,0.33333333333333337,-0.6779829308451333,1611.2505
General and keyboard clerks,0.3,4.2,0.2666666666666667,1.2213061570791275,7405.604
Handicraft and printing workers,0.4306637806637807,6.02929292929293,0.2666666666666667,-0.32556086158275016,689.8496
Health associate professionals,0.3089981447124304,4.325974025974026,0.4,-0.21068215870004492,5099.0548
Health professionals,0.26665358451072735,3.733150183150183,0.19999999999999996,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",0.33571428571428574,4.7,0.4,0.16352363563212194,234.90890000000002
Information and communications technicians,0.27142857142857146,3.8000000000000003,0.1333333333333333,0.4995513847055337,1075.2398
Information and communications technology professionals,0.18571428571428572,2.6,0.1333333333333333,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",0.31079931972789115,4.351190476190476,0.4,-1.3370254996261164,698.311
"Legal, social and cultural professionals",0.35714285714285715,5.0,0.33333333333333337,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",0.24628427128427127,3.447979797979798,0.19999999999999996,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,0.4,5.2,0.2857142857142857,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",0.3333333333333333,1.0,1.0,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",0.18197278911564624,2.5476190476190474,0.19999999999999996,-1.0504398253684317,7006.2538
Numerical and material recording clerks,0.3285714285714286,4.6000000000000005,0.1333333333333333,0.9230494529805006,3252.2544000000003
Other clerical support workers,0.2857142857142857,4.0,0.19999999999999996,0.8912907744771499,3023.8051
Personal care workers,0.12146781789638934,1.7005494505494507,0.125,-0.3070549324017815,4594.922
Personal service workers,0.2965784215784216,4.1520979020979025,0.4,-0.7577211531984667,10568.3659
Production and specialised services managers,0.3285714285714286,4.6000000000000005,0.19999999999999996,0.857573033629368,3472.7029
Protective services workers,0.2172161172161172,3.041025641025641,0.11111111111111116,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,0.4115384615384615,5.35,0.33333333333333337,-1.043410505531454,697.1471
Sales workers,0.29047619047619044,4.066666666666666,0.33333333333333337,0.033129014706379,8845.2163
Science and engineering associate professionals,0.19523809523809524,2.7333333333333334,0.0,0.16136436653651046,14005.1178
Science and engineering professionals,0.19999999999999998,2.8,0.19999999999999996,1.045776739799056,8138.8805
Stationary plant and machine operators,0.23350498707641565,3.269069819069819,0.33333333333333337,-0.9626187364989638,792.9497
Teaching professionals,0.3949050949050949,5.5286713286713285,0.5333333333333333,0.876818073832164,2831.0222
