group,avg_topk_turnover,cumulative_topk_turnover,period_turnover_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,0.19852825745682892,2.7793956043956047,0.2666666666666667,-1.0130976303741126,6992.9135
Administrative and support service activities,0.37755102040816324,5.285714285714286,0.4,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",0.3055555555555556,3.666666666666667,0.16666666666666663,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",0.2628890950319522,3.6804473304473304,0.33333333333333337,-0.14435774545454544,2216.1712
Construction,0.25238095238095243,3.5333333333333337,0.19999999999999996,-1.1708856151941265,5540.3426
Education,0.33809523809523817,4.733333333333334,0.19999999999999996,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",0.37142857142857144,5.2,0.2666666666666667,-0.6259457333333335,3594.2578
Financial and insurance activities,0.23333333333333334,3.2666666666666666,0.33333333333333337,2.058954964776237,8047.3062
Human health and social work activities,0.26666666666666666,3.7333333333333334,0.19999999999999996,0.5957591752384276,26565.0617
Information and communication,0.1714285714285714,2.3999999999999995,0.1333333333333333,1.0935346964314914,10443.3237
Manufacturing,0.12380952380952379,1.733333333333333,0.06666666666666665,-0.2821855571288053,23200.9859
Other service activities,0.3726190476190476,5.216666666666667,0.19999999999999996,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",0.20476190476190473,2.8666666666666663,0.1333333333333333,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,0.31428571428571433,4.4,0.33333333333333337,-0.06395094999999994,2188.2827
Real estate activities,0.28050758765044476,3.927106227106227,0.2666666666666667,0.9475425749999998,1178.2777
Transportation and storage,0.29047619047619044,4.066666666666666,0.19999999999999996,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,0.22380952380952382,3.1333333333333333,0.1333333333333333,0.08708871094876754,16373.4958
