group,avg_topk_turnover,cumulative_topk_turnover,period_turnover_2010_2014_to_2020_2024,mean_exposure,demand_last
Administrative and commercial managers,0.40476190476190477,5.666666666666667,0.2666666666666667,1.253742970186475,3958.6626
"Agricultural, forestry and fishery labourers",0.5984126984126984,6.582539682539682,0.4666666666666667,-1.5142456066346772,57.7969
Assemblers,0.4666666666666667,6.533333333333333,0.4666666666666667,-0.8593871556341274,458.2471
Building and related trades workers (excluding electricians),0.28095238095238095,3.9333333333333336,0.33333333333333337,-1.2907143748320926,11140.1658
Business and administration associate professionals,0.26666666666666666,3.7333333333333334,0.19999999999999996,1.0478081639659278,5959.567
Business and administration professionals,0.24761904761904763,3.466666666666667,0.2666666666666667,1.293706162215531,5573.77
"Chief executives, senior officials and legislators",0.4714285714285715,6.6000000000000005,0.4666666666666667,0.9610230216035534,611.4951
Cleaners and helpers,0.36190476190476195,5.066666666666667,0.4,-1.4997705789853673,1201.5325
Customer services clerks,0.37619047619047624,5.2666666666666675,0.1333333333333333,0.6303640354643951,1520.9937
Drivers and mobile plant operators,0.3380952380952381,4.733333333333333,0.19999999999999996,-0.6473029805426307,2996.7885
Electrical and electronic trades workers,0.30476190476190473,4.266666666666667,0.33333333333333337,-0.7349496179052712,4479.786
Food preparation assistants,0.5200396825396826,7.280555555555556,0.4666666666666667,-1.5850964494043671,500.45860000000005
"Food processing, woodworking, garment and other craft and related trades workers",0.34761904761904766,4.866666666666667,0.19999999999999996,-0.6779829308451333,1611.2505
General and keyboard clerks,0.2380952380952381,3.3333333333333335,0.1333333333333333,1.2213061570791275,7405.604
Handicraft and printing workers,0.49523809523809526,6.933333333333334,0.6,-0.32556086158275016,689.8496
Health associate professionals,0.25238095238095243,3.5333333333333337,0.33333333333333337,-0.21068215870004492,5099.0548
Health professionals,0.1761904761904762,2.466666666666667,0.1333333333333333,0.2887832058201766,10661.8465
"Hospitality, retail and other services managers",0.5721611721611721,8.01025641025641,0.4666666666666667,0.16352363563212194,234.90890000000002
Information and communications technicians,0.3238095238095238,4.533333333333333,0.33333333333333337,0.4995513847055337,1075.2398
Information and communications technology professionals,0.2285714285714286,3.2,0.19999999999999996,1.1943636139008964,6948.7806
"Labourers in mining, construction, manufacturing and transport",0.43809523809523815,6.133333333333334,0.2666666666666667,-1.3370254996261164,698.311
"Legal, social and cultural professionals",0.3952380952380952,5.533333333333333,0.33333333333333337,1.2079945932272302,3347.0092
"Legal, social, cultural and related associate professionals",0.42857142857142855,6.0,0.33333333333333337,0.3598008232852465,3426.3948
Market-oriented skilled agricultural workers,0.4946428571428571,6.925,0.4,-1.1063309154106995,860.9004
"Market-oriented skilled forestry, fishery and hunting workers",0.3174603174603175,0.9523809523809524,0.25,-0.9638657600000005,1.8071
"Metal, machinery and related trades workers",0.2523809523809524,3.533333333333333,0.1333333333333333,-1.0504398253684317,7006.2538
Numerical and material recording clerks,0.2571428571428572,3.6,0.2666666666666667,0.9230494529805006,3252.2544000000003
Other clerical support workers,0.2761904761904762,3.866666666666667,0.2666666666666667,0.8912907744771499,3023.8051
Personal care workers,0.35714285714285715,5.0,0.1333333333333333,-0.3070549324017815,4594.922
Personal service workers,0.26666666666666666,3.7333333333333334,0.1333333333333333,-0.7577211531984667,10568.3659
Production and specialised services managers,0.41904761904761906,5.866666666666667,0.19999999999999996,0.857573033629368,3472.7029
Protective services workers,0.380952380952381,5.333333333333334,0.19999999999999996,-0.251524094174202,2795.6284
Refuse workers and other elementary workers,0.40805860805860805,5.712820512820513,0.33333333333333337,-1.043410505531454,697.1471
Sales workers,0.22857142857142856,3.1999999999999997,0.2666666666666667,0.033129014706379,8845.2163
Science and engineering associate professionals,0.1714285714285714,2.3999999999999995,0.19999999999999996,0.16136436653651046,14005.1178
Science and engineering professionals,0.32857142857142857,4.6,0.4,1.045776739799056,8138.8805
Stationary plant and machine operators,0.3095238095238096,4.333333333333334,0.2666666666666667,-0.9626187364989638,792.9497
Teaching professionals,0.33333333333333337,4.666666666666667,0.33333333333333337,0.876818073832164,2831.0222
