group,avg_topk_turnover,cumulative_topk_turnover,period_turnover_2010_2014_to_2020_2024,mean_exposure,demand_last
Accommodation and food service activities,0.30476190476190473,4.266666666666667,0.1333333333333333,-1.0130976303741126,6992.9135
Administrative and support service activities,0.2714285714285714,3.8,0.19999999999999996,-0.0792861738095238,5159.4181
"Agriculture, forestry, fishing and mining",0.5597735597735598,7.836829836829837,0.6,-1.0345610360000002,612.9595
"Arts, entertainment and recreation",0.5826839826839827,8.157575757575758,0.4666666666666667,-0.14435774545454544,2216.1712
Construction,0.2761904761904762,3.8666666666666667,0.1333333333333333,-1.1708856151941265,5540.3426
Education,0.2904761904761905,4.066666666666667,0.19999999999999996,1.1862854428571432,5884.1553
"Electricity, gas, water supply; sewerage, waste management",0.4428571428571429,6.2,0.33333333333333337,-0.6259457333333335,3594.2578
Financial and insurance activities,0.21904761904761902,3.0666666666666664,0.19999999999999996,2.058954964776237,8047.3062
Human health and social work activities,0.13809523809523808,1.9333333333333331,0.1333333333333333,0.5957591752384276,26565.0617
Information and communication,0.2761904761904762,3.8666666666666667,0.33333333333333337,1.0935346964314914,10443.3237
Manufacturing,0.1333333333333333,1.8666666666666663,0.1333333333333333,-0.2821855571288053,23200.9859
Other service activities,0.380952380952381,5.333333333333334,0.1333333333333333,0.6201269035464446,1928.3286
"Professional, scientific and technical activities",0.3095238095238096,4.333333333333334,0.19999999999999996,0.8637364012154647,9656.5828
Public administration and defence; compulsory social security,0.3428571428571429,4.800000000000001,0.2666666666666667,-0.06395094999999994,2188.2827
Real estate activities,0.4238095238095238,5.933333333333334,0.4,0.9475425749999998,1178.2777
Transportation and storage,0.28095238095238095,3.9333333333333336,0.2666666666666667,-0.6217022593099913,4310.8577
Wholesale and retail trade; repair of motor vehicles,0.1857142857142857,2.5999999999999996,0.19999999999999996,0.08708871094876754,16373.4958
